start_ms	end_ms	sp	kind	text
6920	9557	SP1	lat	vo eden grad si živeeše eden car
6920	9557	SP1	cyr	во еден град си живееше еден цар
11269	14174	SP1	lat	carot im naredi na luǵeto vo gradot
11269	14174	SP1	cyr	царот им нареди на луѓето во градот
14553	15720	SP1	lat	posle večerata
14553	15720	SP1	cyr	после вечерата
16036	18335	SP1	lat	nikoj da ne smee da pali svetlo
16036	18335	SP1	cyr	никој да не смее да пали светло
19726	20630	SP1	lat	vo toj grad
19726	20630	SP1	cyr	во тој град
20675	22630	SP1	lat	živeeše i edna vdovica
20675	22630	SP1	cyr	живееше и една вдовица
22740	24320	SP1	lat	šo imaše tri deca
22740	24320	SP1	cyr	шо имаше три деца
24807	25804	SP1	lat	decata bea
24807	25804	SP1	cyr	децата беа
26068	26953	SP1	lat	ženski
26068	26953	SP1	cyr	женски
27612	28151	SP1	lat	i
27612	28151	SP1	cyr	и
28346	30204	SP1	lat	n... posle večerata
28346	30204	SP1	cyr	н... после вечерата
30431	31346	SP1	lat	predea
30431	31346	SP1	cyr	предеа
32209	34233	SP1	lat	konci od volna
32209	34233	SP1	cyr	конци од волна
35968	38232	SP1	lat	togaš golemata ḱerka ì reče
35968	38232	SP1	cyr	тогаш големата ќерка и рече
39534	40173	SP1	lat	mamo
39534	40173	SP1	cyr	мамо
40309	41794	SP1	lat	carot naredi
40309	41794	SP1	cyr	царот нареди
42335	44929	SP1	lat	da ne palime svetlo posle večera
42335	44929	SP1	cyr	да не палиме светло после вечера
45047	47233	SP1	lat	oti kaznite se golemi
45047	47233	SP1	cyr	оти казните се големи
48327	48845	SP1	lat	a
48327	48845	SP1	cyr	а
50059	51581	SP1	lat	majkata ì odgovori
50059	51581	SP1	cyr	мајката и одговори
52527	53603	SP1	lat	ako nie
52527	53603	SP1	cyr	ако ние
53825	54504	SP1	lat	ne
53825	54504	SP1	cyr	не
56188	58741	SP1	lat	predeme konci posle večera
56188	58741	SP1	cyr	предеме конци после вечера
59208	62171	SP1	lat	togaš utre ḱe nemame da jademe leb
59208	62171	SP1	cyr	тогаш утре ќе немаме да јадеме леб
64107	65928	SP1	lat	i taka prodolžija
64107	65928	SP1	cyr	и така продолжија
66319	67035	SP1	lat	da
66319	67035	SP1	cyr	да
67887	69297	SP1	lat	si predat konci
67887	69297	SP1	cyr	си предат конци
70335	72166	SP1	lat	najgolemata ḱerka ì reče
70335	72166	SP1	cyr	најголемата ќерка и рече
72755	73465	SP1	lat	mamo
72755	73465	SP1	cyr	мамо
73868	74925	SP1	lat	kolku sakam
73868	74925	SP1	cyr	колку сакам
75162	77972	SP1	lat	sinot na carot da me pobara za žena
75162	77972	SP1	cyr	синот на царот да ме побара за жена
78682	81428	SP1	lat	jas tolku ḱe mu ja sredam
78682	81428	SP1	cyr	јас толку ќе му ја средам
81752	82680	SP1	lat	sobata
81752	82680	SP1	cyr	собата
83972	86128	SP1	lat	što toj ḱe bide mnogu zadovolen
83972	86128	SP1	cyr	што тој ќе биде многу задоволен
87130	89329	SP1	lat	posle se javi i vtorata ḱerka
87130	89329	SP1	cyr	после се јави и втората ќерка
89845	91789	SP1	lat	vika, i ja sakam da mu bidam
89845	91789	SP1	cyr	вика, и ја сакам да му бидам
92210	92909	SP1	lat	žena
92210	92909	SP1	cyr	жена
93376	94837	SP1	lat	na sinot na kralot
93376	94837	SP1	cyr	на синот на кралот
95095	98172	SP1	lat	jas, vika, tolku odelata ḱe mu gi sredam
95095	98172	SP1	cyr	јас, вика, толку оделата ќе му ги средам
98585	100443	SP1	lat	da toj ḱe bide mnogu zadovolen
98585	100443	SP1	cyr	да тој ќе биде многу задоволен
101583	103421	SP1	lat	a najmalata ḱerka reče
101583	103421	SP1	cyr	а најмалата ќерка рече
104374	107786	SP1	lat	jas, ako me zeme sinot na kralot za žena,
104374	107786	SP1	cyr	јас, ако ме земе синот на кралот за жена,
108077	110985	SP1	lat	ḱe mu rodam dete što ima zlatna kosa
108077	110985	SP1	cyr	ќе му родам дете што има златна коса
111180	113396	SP1	lat	i od solzite ḱe roni biseri
111180	113396	SP1	cyr	и од солзите ќе рони бисери
116194	117110	SP1	lat	kralot
116194	117110	SP1	cyr	кралот
117235	119076	SP1	lat	go slušna razgovorot
117235	119076	SP1	cyr	го слушна разговорот
120438	122826	SP1	lat	i utredenta ja povika majkata
120438	122826	SP1	cyr	и утредента ја повика мајката
123506	124395	SP1	lat	i ì reče
123506	124395	SP1	cyr	и и рече
124701	126136	SP1	lat	kolku ḱerki ti imaš?
124701	126136	SP1	cyr	колку ќерки ти имаш?
126784	127889	SP1	lat	taa mu reče, tri
126784	127889	SP1	cyr	таа му рече, три
128742	130885	SP1	lat	site tri ḱe gi zemam za ženi
128742	130885	SP1	cyr	сите три ќе ги земам за жени
131011	132667	SP1	lat	na mojot sin
131011	132667	SP1	cyr	на мојот син
133202	135653	SP1	lat	i taka ḱerkite otidoa kaj sinot
133202	135653	SP1	cyr	и така ќерките отидоа кај синот
135848	137055	SP1	lat	na kralot
135848	137055	SP1	cyr	на кралот
140092	140979	SP1	lat	arno ama
140092	140979	SP1	cyr	арно ама
141420	142979	SP1	lat	pominaa dva tri dena
141420	142979	SP1	cyr	поминаа два три дена
143291	144232	SP1	lat	i kralot
143291	144232	SP1	cyr	и кралот
144549	147099	SP1	lat	otide da vidi što tie
144549	147099	SP1	cyr	отиде да види што тие
147254	149218	SP1	lat	napravile od obeḱanjeto
147254	149218	SP1	cyr	направиле од обеќањето
150354	152042	SP1	lat	vide prvata ḱerka
150354	152042	SP1	cyr	виде првата ќерка
152771	154349	SP1	lat	deka dobro napravila
152771	154349	SP1	cyr	дека добро направила
154830	157124	SP1	lat	vtorata ḱerka isto dobro napravila
154830	157124	SP1	cyr	втората ќерка исто добро направила
157372	159711	SP1	lat	ama tretata ne rodila bebe
157372	159711	SP1	cyr	ама третата не родила бебе
160109	161215	SP1	lat	i toj ì reče
160109	161215	SP1	cyr	и тој и рече
161937	164653	SP1	lat	dvete dobro ja završile rabotata
161937	164653	SP1	cyr	двете добро ја завршиле работата
164704	166857	SP1	lat	a ti ne si ja završila rabotata
164704	166857	SP1	cyr	а ти не си ја завршила работата
167253	168275	SP1	lat	a ona mu reče
167253	168275	SP1	cyr	а она му рече
168552	171542	SP1	lat	pa toa ne e konj da go javneš i da go bodneš
168552	171542	SP1	cyr	па тоа не е коњ да го јавнеш и да го боднеш
171935	173018	SP1	lat	neli trebe
171935	173018	SP1	cyr	нели требе
173118	175158	SP1	lat	devet meseci da projdat
173118	175158	SP1	cyr	девет месеци да пројдат
175180	176820	SP1	lat	pa za da se rodi bebeto
175180	176820	SP1	cyr	па за да се роди бебето
177427	179569	SP1	lat	kralot ì reče, jas ḱe čekam
177427	179569	SP1	cyr	кралот и рече, јас ќе чекам
180690	182679	SP1	lat	i pominaa devet meseci
180690	182679	SP1	cyr	и поминаа девет месеци
183662	184693	SP1	lat	se rodija
183662	184693	SP1	cyr	се родија
185055	186213	SP1	lat	dve bebinja
185055	186213	SP1	cyr	две бебиња
186401	187490	SP1	lat	edno maško
186401	187490	SP1	cyr	едно машко
187512	188571	SP1	lat	edno žensko
187512	188571	SP1	cyr	едно женско
188634	190368	SP1	lat	bea so zlatni kosi
188634	190368	SP1	cyr	беа со златни коси
191022	191431	SP1	lat	i
191022	191431	SP1	cyr	и
191778	192909	SP1	lat	koga zaplakaa
191778	192909	SP1	cyr	кога заплакаа
193162	194837	SP1	lat	ronea biseri
193162	194837	SP1	cyr	ронеа бисери
196807	198816	SP1	lat	ama tova kralot ne go vide
196807	198816	SP1	cyr	ама това кралот не го виде
199232	202186	SP1	lat	go vidoa sestrite, dvete sestri na
199232	202186	SP1	cyr	го видоа сестрите, двете сестри на
203453	204504	SP1	lat	na devojkata
203453	204504	SP1	cyr	на девојката
205035	206377	SP1	lat	i togaš tie
205035	206377	SP1	cyr	и тогаш тие
207564	209096	SP1	lat	si razgovaraa
207564	209096	SP1	cyr	си разговараа
209647	212848	SP1	lat	ovoa ne... ne t... ne treba taka da bide
209647	212848	SP1	cyr	овоа не... не т... не треба така да биде
212977	215000	SP1	lat	mora da gi zememe bebinjata
212977	215000	SP1	cyr	мора да ги земеме бебињата
215095	216741	SP1	lat	da gi stavime vo kovčeg
215095	216741	SP1	cyr	да ги ставиме во ковчег
216859	218764	SP1	lat	i da gi puštime vo ezero
216859	218764	SP1	cyr	и да ги пуштиме во езеро
219953	221560	SP1	lat	i tova go napravija
219953	221560	SP1	cyr	и това го направија
222560	226016	SP1	lat	i koga dojde tretiot den, kralot da go vidi bebeto
222560	226016	SP1	cyr	и кога дојде третиот ден, кралот да го види бебето
226450	227328	SP1	lat	najde
226450	227328	SP1	cyr	најде
227683	230500	SP1	lat	vo lulkata dve mačinja
227683	230500	SP1	cyr	во лулката две мачиња
231394	236563	SP1	lat	i toj ì reče, ti ne ja ispol... ti ne ja is... ispolni ona što obeḱa
231394	236563	SP1	cyr	и тој и рече, ти не ја испол... ти не ја ис... исполни она што обеќа
236909	239520	SP1	lat	ti ne rodi bebinja, rodi mačinja!
236909	239520	SP1	cyr	ти не роди бебиња, роди мачиња!
239966	241083	SP1	lat	i taa mu reče
239966	241083	SP1	cyr	и таа му рече
241409	244771	SP1	lat	ne, mojte sestri gi ukradoa bebinjata
241409	244771	SP1	cyr	не, мојте сестри ги украдоа бебињата
244848	246611	SP1	lat	i gi frlija vo ezeroto
244848	246611	SP1	cyr	и ги фрлија во езерото
247205	248979	SP1	lat	togaš kralot naredi
247205	248979	SP1	cyr	тогаш кралот нареди
249239	251064	SP1	lat	da se zatvori vo zatvor
249239	251064	SP1	cyr	да се затвори во затвор
251302	253399	SP1	lat	i nejze ja zatvorija vo zatvor
251302	253399	SP1	cyr	и нејзе ја затворија во затвор
255355	256184	SP1	lat	arno ama
255355	256184	SP1	cyr	арно ама
257134	259671	SP1	lat	pokraj ezeroto živeeše eden
257134	259671	SP1	cyr	покрај езерото живееше еден
259885	261442	SP1	lat	postar čovek
259885	261442	SP1	cyr	постар човек
261741	262499	SP1	lat	maž
261741	262499	SP1	cyr	маж
263410	264933	SP1	lat	koga go vide kovčegot
263410	264933	SP1	cyr	кога го виде ковчегот
265003	265800	SP1	lat	go zede
265003	265800	SP1	cyr	го зеде
266175	267064	SP1	lat	go otvori
266175	267064	SP1	cyr	го отвори
267229	269282	SP1	lat	i vnatre najde dve bebinja
267229	269282	SP1	cyr	и внатре најде две бебиња
269344	270387	SP1	lat	edno žensko
269344	270387	SP1	cyr	едно женско
270472	271347	SP1	lat	edno maško
270472	271347	SP1	cyr	едно машко
271594	272866	SP1	lat	i otšo plačele
271594	272866	SP1	cyr	и отшо плачеле
273003	275106	SP1	lat	poln beše so biseri kovčegot
273003	275106	SP1	cyr	полн беше со бисери ковчегот
275681	277548	SP1	lat	togaš toj gi zede bebinjata
275681	277548	SP1	cyr	тогаш тој ги зеде бебињата
278077	281686	SP1	lat	i im reče deka on ḱe im bide tatko i ḱe gi odgleda
278077	281686	SP1	cyr	и им рече дека он ќе им биде татко и ќе ги одгледа
282200	283626	SP1	lat	taka tie rastea
282200	283626	SP1	cyr	така тие растеа
284820	287465	SP1	lat	ama eden den koga porasnaa pogolemi
284820	287465	SP1	cyr	ама еден ден кога пораснаа поголеми
287827	288807	SP1	lat	tie mu rekoa
287827	288807	SP1	cyr	тие му рекоа
289562	290204	SP1	lat	tato
289562	290204	SP1	cyr	тато
290453	293453	SP1	lat	zošto nie ne živeeme kaj luǵeto što živeat
290453	293453	SP1	cyr	зошто ние не живееме кај луѓето што живеат
293634	294590	SP1	lat	vo gradot
293634	294590	SP1	cyr	во градот
294878	296959	SP1	lat	ami i zima i leto živeeme
294878	296959	SP1	cyr	ами и зима и лето живееме
297040	298180	SP1	lat	pokraj ezeroto
297040	298180	SP1	cyr	покрај езерото
298791	300018	SP1	lat	tatkoto im reče
298791	300018	SP1	cyr	таткото им рече
300244	302610	SP1	lat	zašo neame pari da napravime kuḱa
300244	302610	SP1	cyr	зашо неаме пари да направиме куќа
303476	304415	SP1	lat	a togaš
303476	304415	SP1	cyr	а тогаш
305553	307258	SP1	lat	v... decata mu rekoa
305553	307258	SP1	cyr	в... децата му рекоа
307318	309291	SP1	lat	ḱe gi prodademe site biseri
307318	309291	SP1	cyr	ќе ги продадеме сите бисери
309551	310936	SP1	lat	i ḱe napravime kuḱa
309551	310936	SP1	cyr	и ќе направиме куќа
311515	313568	SP1	lat	tie napravija kuḱa mnogu ubava
311515	313568	SP1	cyr	тие направија куќа многу убава
314082	315023	SP1	lat	vednaga
314082	315023	SP1	cyr	веднага
315245	315663	SP1	lat	/hesitates/
315245	315663	SP1	cyr	/hesitates/
315982	318633	SP1	lat	do kuḱata na kralot
315982	318633	SP1	cyr	до куќата на кралот
319304	320790	SP1	lat	i živeeja srečno
319304	320790	SP1	cyr	и живееја сречно
321136	322708	SP1	lat	decata bea mnogu dobri
