start_ms	end_ms	sp	kind	text
31280	32670	SP1	lat	go sakale ko dete negov
31280	32670	SP1	cyr	го сакале ко дете негов
33260	34000	SP1	lat	edno vreme
33260	34000	SP1	cyr	едно време
34800	35580	SP1	lat	Petko plači
34800	35580	SP1	cyr	Петко плачи
36190	38150	SP1	lat	ženava go gleda, plače
36190	38150	SP1	cyr	женава го гледа, плаче.
38941	40050	SP1	lat	i na mažot ì mu vika
38941	40050	SP1	cyr	и на мажот и му вика
40060	42753	SP1	lat	abe zošto reče Petko plače, da ne go skara ti?
40060	42753	SP1	cyr	абе зошто, рече, Петко плаче, да не го скара ти?
42898	45198	SP1	lat	ne, reče, ni go skarav, ništo, reče
42898	45198	SP1	cyr	не, рече, ни го скарав, ништо, рече
45982	46790	SP1	lat	hajde, reče
45982	46790	SP1	cyr	хајде, рече
46790	47700	SP1	lat	da ni kaži zošto
46790	47700	SP1	cyr	Да ни кажи зошто
47740	49850	SP1	lat	go viknale, abe Petko, zošto plačiš?
47740	49850	SP1	cyr	го викнале, абе Петко зошто плачиш?
50270	52070	SP1	lat	ami, dvaeset godini sum na pečalba
50270	52070	SP1	cyr	ами, дваесет години сум на печалба
53130	56810	SP1	lat	majka mi dali e živa? ženata mi dali e živa? dali imame deca?
53130	56810	SP1	cyr	мајка ми дали е жива? жената ми дали е жива? дали имаме деца?
57197	59670	SP1	lat	neznam kako e, e, mu rekle, sega, utre
57197	59670	SP1	cyr	Незнам како е, н, му рекле, сега, утре
60018	60800	SP1	lat	ti spremame
60018	60800	SP1	cyr	ти спремаме
61240	61978	SP1	lat	da si odiš doma
61240	61978	SP1	cyr	да си одиш дома
62549	64252	SP1	lat	mu napravila dva zelnici
62549	64252	SP1	cyr	му направила два зелници
64699	65605	SP1	lat	eden za popat
64699	65605	SP1	cyr	еден за попат
66355	67200	SP1	lat	eden za doma
66355	67200	SP1	cyr	еден за дома
67272	68422	SP1	lat	dve kartina vino
67272	68422	SP1	cyr	две картина вино
68792	69992	SP1	lat	edno za popat
68792	69992	SP1	cyr	едно за попат
70330	71146	SP1	lat	edno za doma
70330	71146	SP1	cyr	едно за дома
72881	74751	SP1	lat	ajde, trgnale, si baknale i si...
72881	74751	SP1	cyr	Ајде, тргнале, си бакнале и си...
74943	77931	SP1	lat	a pred toa, mu ostajle eden kup zlato ovde
74943	77931	SP1	cyr	а пред тоа, му остајле еден куп злато овде
78084	79880	SP1	lat	i tri frangi ovde zlatnici
78084	79880	SP1	cyr	и три франги овде златници
80200	81900	SP1	lat	i mu rekle ovie se so alav
80200	81900	SP1	cyr	и му рекле овие се со алав
82157	83140	SP1	lat	a ovie se so aram
82157	83140	SP1	cyr	А овие се со арам
