start_ms	end_ms	sp	kind	text
1040	2120	SP1	lat	da... da počnuvam?
1040	2120	SP1	cyr	да... да почнувам?
3838	6678	SP1	lat	sega da rečam ja sum pak... pak baba Mare?
3838	6678	SP1	cyr	сега да речам ја сум пак... пак баба Маре?
7325	8678	SP2	lat	ne, sea te znaeme
7325	8678	SP2	cyr	ne, sea te znaeme
8490	8708	SP1	lat	da
8490	8708	SP1	cyr	да
8912	10911	SP1	lat	e sega, sea se poznavame
8912	10911	SP1	cyr	е сега, сеа се познаваме
11472	13812	SP1	lat	se sega vaka prikaznata, si bile
11472	13812	SP1	cyr	се сега вака приказната, си биле
13952	15527	SP1	lat	dvajca braḱa
13952	15527	SP1	cyr	двајца браќа
16347	17338	SP1	lat	ednio brat bil
16347	17338	SP1	cyr	еднио брат бил
18318	21976	SP1	lat	znači mnogu poopnat, domaḱin, se prael gazda
18318	21976	SP1	cyr	значи многу поопнат, домаќин, се праел газда
22024	23023	SP1	lat	a ednio brat
22024	23023	SP1	cyr	а еднио брат
23673	25115	SP1	lat	ovcite gi pasel
23673	25115	SP1	cyr	овците ги пасел
25743	27309	SP1	lat	sè vo, sè vo planina
25743	27309	SP1	cyr	сè во, сè во планина
27874	30784	SP1	lat	ko ḱe bilo praznik, Veligden, Božik
27874	30784	SP1	cyr	ко ќе било празник, Велигден, Божик.
31134	33294	SP1	lat	za nego nemalo ruček, momok
31134	33294	SP1	cyr	за него немало ручек, момок
33614	34658	SP1	lat	gi pasel ovcite
33614	34658	SP1	cyr	ги пасел овците
35461	37083	SP1	lat	a ovoj odel na lov
35461	37083	SP1	cyr	а овој одел на лов
38601	40779	SP1	lat	na konjo kačen, so zagarite
38601	40779	SP1	cyr	на коњо качен, со загарите
41694	44156	SP1	lat	puškata naramo, odel da lovi
41694	44156	SP1	cyr	пушката нарамо, одел да лови
45183	47241	SP1	lat	lovel ka... kako šo lovel
45183	47241	SP1	cyr	ловел ка... како шо ловел
48116	49745	SP1	lat	ranil eden gulab
48116	49745	SP1	cyr	ранил еден гулаб
50715	53448	SP1	lat	i gulabo togaš pa... p... progovoril
