start_ms	end_ms	sp	kind	text
3470	5875	SP1	lat	site pretsedateli gi nakanil
3470	5875	SP1	cyr	сите претседатели ги наканил
6579	8093	SP1	lat	da... da dojdat na večera
6579	8093	SP1	cyr	да... да дојдат на вечера
8574	10867	SP1	lat	na... vo manastiron Sveti Arandžel
8574	10867	SP1	cyr	на... во манастирон Свети Аранџел
11140	12190	SP1	lat	vo Prilep
11140	12190	SP1	cyr	во Прилеп
12586	14657	SP1	lat	se sobrale gosti dosta
12586	14657	SP1	cyr	се собрале гости доста
14850	18223	SP1	lat	jadele, pijale, cela noč se veselele
14850	18223	SP1	cyr	јаделе, пијале, цела ноч се веселеле
18594	19206	SP1	lat	i
18594	19206	SP1	cyr	и
19584	22336	SP1	lat	i sega ajde došlo vreme da si legnat
19584	22336	SP1	cyr	и сега ајде дошло време да си легнат
23387	26880	SP1	lat	i si legnale ama ovoj rekol sega ja nema, nema da legnam
23387	26880	SP1	cyr	и си легнале ама овој рекол сега ја нема, нема да легнам
27860	32541	SP1	lat	ḱe, ḱe slušam da vidam šo... ḱe rečat, dali beše uboo jadenjeto
27860	32541	SP1	cyr	ќе, ќе слушам да видам шо... ќе речат, дали беше убоо јадењето
32630	35920	SP1	lat	dali nè prečeka Marko uboo, kako beše, šo beše
32630	35920	SP1	cyr	дали не пречека Марко убоо, како беше, шо беше
36040	37330	SP1	lat	site raboti
36040	37330	SP1	cyr	сите работи
37530	41840	SP1	lat	i onoj bože ležit, i znači ḱutel i slušal, i praat muabet
37530	41840	SP1	cyr	и оној боже лежит, и значи ќутел и слушал, и праат муабет
42082	44864	SP1	lat	mnogu beše uboo, so uboo nè prečeka, se
42082	44864	SP1	cyr	многу беше убоо, со убоо не пречека, се
44980	47701	SP1	lat	ama ne ni donese, reče, riba od Ohrida
44980	47701	SP1	cyr	ама не ни донесе, рече, риба од Охрида
48590	51086	SP1	lat	nači nemalo riba za večerata
48590	51086	SP1	cyr	начи немало риба за вечерата
51890	53250	SP1	lat	i šo prajt ovoj
51890	53250	SP1	cyr	и шо прајт овој
53810	55726	SP1	lat	sega poleka stanuvat
53810	55726	SP1	cyr	сега полека стануват
57870	61615	SP1	lat	konjo go napiva so vino, so suvo grozje go nazobal
57870	61615	SP1	cyr	коњо го напива со вино, со суво грозје го назобал
61970	63444	SP1	lat	se kačil na konjot
61970	63444	SP1	cyr	се качил на коњот
63490	65230	SP1	lat	koklu šo moži da odi konjot
63490	65230	SP1	cyr	коклу шо можи да оди коњот
65560	66380	SP1	lat	noḱta
65560	66380	SP1	cyr	ноќта
66600	67722	SP1	lat	otišol u Ohrid
66600	67722	SP1	cyr	отишол у Охрид
68150	69238	SP1	lat	kupil ribi
68150	69238	SP1	cyr	купил риби
70117	71264	SP1	lat	kupil ribi
70117	71264	SP1	cyr	купил риби
71435	74729	SP1	lat	i donesol, ovie ne, ne setile, spijale gostite
71435	74729	SP1	cyr	и донесол, овие не, не сетиле, спијале гостите
75090	77648	SP1	lat	i denta, ajde pak i ribi
75090	77648	SP1	cyr	и дента, ајде пак и риби
79041	81000	SP1	lat	znači gi prečekal
79041	81000	SP1	cyr	значи ги пречекал
82570	83956	SP1	lat	e tolku taja e
82570	83956	SP1	cyr	е толку таја е
83860	86080	SP2	lat	/laughing/  da, dobra e
83860	86080	SP2	cyr	/laughter/  да, добра е
84540	85570	SP1	lat	tolku ja znam, da
84540	85570	SP1	cyr	толку ја знам, да
