start_ms	end_ms	sp	kind	text
1650	3498	SP1	lat	eee, zlato, si bile
1650	3498	SP1	cyr	еее, злато, си биле
3910	5710	SP1	lat	nekoe semejstvo, si imale
3910	5710	SP1	cyr	некое семејство, си имале
6100	9050	SP1	lat	buluk ovci, buluk znači sto ovci
6100	9050	SP1	cyr	булук овци, булук значи сто овци
9530	12871	SP1	lat	imale ovie dva, tri buluka, dve, tri stada ovci
9530	12871	SP1	cyr	имале овие два, три булука, две, три стада овци
12960	13990	SP1	lat	tie imale
12960	13990	SP1	cyr	тие имале
14200	16800	SP1	lat	ovčar, koj gi pasel ovcite
14200	16800	SP1	cyr	овчар, кој ги пасел овците
16972	18680	SP1	lat	sekoe sabajle gi isteral
16972	18680	SP1	cyr	секое сабајле ги истерал
19010	20000	SP1	lat	na livadite
19010	20000	SP1	cyr	на ливадите
20110	22250	SP1	lat	sekoe navečer, pred sonceto da
20110	22250	SP1	cyr	секое навечер, пред сонцето да
22673	24387	SP1	lat	zajdi skroz da se zamači
22673	24387	SP1	cyr	зајди скроз да се замачи
24420	26220	SP1	lat	si gi vraḱal doma, i si imal
24420	26220	SP1	cyr	си ги враќал дома, и си имал
26260	27620	SP1	lat	i kučinja so nego
26260	27620	SP1	cyr	и кучиња со него
27770	29290	SP1	lat	i denta otišol
27770	29290	SP1	cyr	и дента отишол
29560	31902	SP1	lat	da gi pasi ovcite, pasele šo pasele
29560	31902	SP1	cyr	да ги паси овците, паселе шо паселе
32144	33050	SP1	lat	arno ama
32144	33050	SP1	cyr	арно ама
33215	34390	SP1	lat	na vraḱanje
33215	34390	SP1	cyr	на враќање
34580	35610	SP1	lat	bravite
34580	35610	SP1	cyr	бравите
35840	37280	SP1	lat	tie se maškite ovci
35840	37280	SP1	cyr	тие се машките овци
38040	40050	SP1	lat	taka, bravi, oveni
38040	40050	SP1	cyr	така, брави, овени
40822	41623	SP1	lat	ammmm
40822	41623	SP1	cyr	амммм
43100	45926	SP1	lat	imeto, taka, taka se, taka se vikat, koč
43100	45926	SP1	cyr	името, така, така се, така се викат, коч
45430	46550	SP2	lat	bravi, bravi!
45430	46550	SP2	cyr	брави, брави!
46641	47459	SP1	lat	bravi se vikaat
46641	47459	SP1	cyr	брави се викаат
47870	50880	SP1	lat	arno ama poz... vraḱaḱi se nanazad
47870	50880	SP1	cyr	арно ама поз... враќаќи се наназад
51305	53203	SP1	lat	mu zaostanale dvata
51305	53203	SP1	cyr	му заостанале двата
53316	54250	SP1	lat	bravi
53316	54250	SP1	cyr	брави
54480	57390	SP1	lat	zad nekoja trevka, zemale trevka, ednio so drugo
54480	57390	SP1	cyr	зад некоја тревка, земале тревка, еднио со друго
