start_ms	end_ms	sp	kind	text
6827	7752	SP1	lat	dedo Petre
6827	7752	SP1	cyr	дедо Петре
8482	9418	SP1	lat	i baba Stojnja
8482	9418	SP1	cyr	и баба Стојња
9753	9846	SP1	lat	ej
9753	9846	SP1	cyr	еј
10511	11320	SP1	lat	lele grešiv
10511	11320	SP1	cyr	леле грешив
12481	12911	SP1	lat	dobro
12481	12911	SP1	cyr	добро
13225	13621	SP1	lat	ajde
13225	13621	SP1	cyr	ајде
13731	14623	SP1	lat	ako e Stojnja, šo?
13731	14623	SP1	cyr	ако е Стојња, шо?
15564	16814	SP1	lat	da ne, da ne se lutit?
15564	16814	SP1	cyr	да не, да не се лутит?
17562	18908	SP1	lat	ami, šo ḱe se luti? ne
17562	18908	SP1	cyr	ами, шо ќе се лути? не
19455	21487	SP1	lat	ne ne, ajde, lele lele grešiv ja
19455	21487	SP1	cyr	не не, ајде, леле леле грешив ја
21724	22588	SP1	lat	baba Kalina
21724	22588	SP1	cyr	баба Калина
23627	24886	SP1	lat	se, se izvinuvam
23627	24886	SP1	cyr	се, се извинувам
25326	26430	SP1	lat	ì go grešiv imeto
25326	26430	SP1	cyr	и го грешив името
27308	28146	SP1	lat	dedo Petre
27308	28146	SP1	cyr	дедо Петре
28245	30118	SP1	lat	i baba Kalina se dogovorile
28245	30118	SP1	cyr	и баба Калина се договориле
30772	33436	SP1	lat	da odi dedo na pazar da kupi ribi
30772	33436	SP1	cyr	да оди дедо на пазар да купи риби
34744	37433	SP1	lat	i dedoto ja spregnal kolata so konjot
34744	37433	SP1	cyr	и дедото ја спрегнал колата со коњот
37892	39113	SP1	lat	otišol na pazar
37892	39113	SP1	cyr	отишол на пазар
40042	41154	SP1	lat	kupil ribi
40042	41154	SP1	cyr	купил риби
41833	45238	SP1	lat	šo treba za jadenje, kupil leb, kupil meso
41833	45238	SP1	cyr	шо треба за јадење, купил леб, купил месо
46505	48684	SP1	lat	ì kupil na babata
46505	48684	SP1	cyr	и купил на бабата
49065	51710	SP1	lat	ì kupil leblebii, i kupil
49065	51710	SP1	cyr	и купил леблебии, и купил
53029	54678	SP1	lat	ì kupil smokvi
53029	54678	SP1	cyr	и купил смокви
56203	58101	SP1	lat	i, natovaril kolata
56203	58101	SP1	cyr	и, натоварил колата
58569	60007	SP1	lat	i si idit
58569	60007	SP1	cyr	и си идит
60387	61638	SP1	lat	ama Kuma Lisa
60387	61638	SP1	cyr	ама Кума Лиса
61982	62949	SP1	lat	itra mnogu
61982	62949	SP1	cyr	итра многу
63907	66484	SP1	lat	namirisala deka dedoto nosi vo kolata
63907	66484	SP1	cyr	намирисала дека дедото носи во колата
67164	68117	SP1	lat	natovareno
67164	68117	SP1	cyr	натоварено
68830	73238	SP1	lat	se napravila mrtva, legnala na patot, mu go preprečila patot
68830	73238	SP1	cyr	се направила мртва, легнала на патот, му го препречила патот
74564	75722	SP1	lat	legnala na pato
74564	75722	SP1	cyr	легнала на пато
76507	77759	SP1	lat	i dedoto slegol
76507	77759	SP1	cyr	и дедото слегол
77983	79694	SP1	lat	zastanal so konjo Dorče
77983	79694	SP1	cyr	застанал со коњо Дорче
80852	81450	SP1	lat	i vika
80852	81450	SP1	cyr	и вика
81661	83348	SP1	lat	ee zastani Dorče sega
81661	83348	SP1	cyr	ее застани Дорче сега
83864	84821	SP1	lat	imame sreḱa
83864	84821	SP1	cyr	имаме среќа
85035	86748	SP1	lat	eve lisica za babata
85035	86748	SP1	cyr	еве лисица за бабата
88341	90148	SP1	lat	e, ja klocnal so nogata
88341	90148	SP1	cyr	е, ја клоцнал со ногата
90455	91159	SP1	lat	ne mrdat
90455	91159	SP1	cyr	не мрдат
91752	93157	SP1	lat	pa ja klocnal, ne mrda
91752	93157	SP1	cyr	па ја клоцнал, не мрда
93601	94998	SP1	lat	ma vika, ovaa e mrtva
93601	94998	SP1	cyr	ма вика, оваа е мртва
96344	97046	SP1	lat	i ja zemal
96344	97046	SP1	cyr	и ја земал
97647	100395	SP1	lat	ja frlil vo kolata, ja stavil kaj ribite
97647	100395	SP1	cyr	ја фрлил во колата, ја ставил кај рибите
101911	102689	SP1	lat	i taja
101911	102689	SP1	cyr	и таја
103068	104039	SP1	lat	itra lisica
103068	104039	SP1	cyr	итра лисица
104960	106591	SP1	lat	go namirisala ribite
104960	106591	SP1	cyr	го намирисала рибите
106924	107460	SP1	lat	počnala
106924	107460	SP1	cyr	почнала
107862	110690	SP1	lat	edna po edna da frlat od kolata nazad
107862	110690	SP1	cyr	една по една да фрлат од колата назад
111176	112619	SP1	lat	dedoto terat napred
111176	112619	SP1	cyr	дедото терат напред
112626	114389	SP1	lat	taja nazad si frlat ribi
112626	114389	SP1	cyr	таја назад си фрлат риби
115211	117703	SP1	lat	i dovrlila ribite i slegla
115211	117703	SP1	cyr	и доврлила рибите и слегла
118429	120294	SP1	lat	slegla, si gi sobrala ribite
118429	120294	SP1	cyr	слегла, си ги собрала рибите
120654	123108	SP1	lat	si gi odnesla vo nejzinata koliba
120654	123108	SP1	cyr	си ги однесла во нејзината колиба
124297	125317	SP1	lat	vo kolibata
124297	125317	SP1	cyr	во колибата
125461	129036	SP1	lat	gi nanižala ribite, da se sušat, imala, si palela ogon
125461	129036	SP1	cyr	ги нанижала рибите, да се сушат, имала, си палела огон
129562	131593	SP1	lat	si imala mali lisičina, tri
129562	131593	SP1	cyr	си имала мали лисичина, три
133352	134883	SP1	lat	i sega šo ḱe prajt
