start_ms	end_ms	sp	kind	text
4600	6170	SP1	lat	bila Maša
4600	6170	SP1	cyr	била Маша
7120	10752	SP1	lat	a, a, ma... bila galena mnogu, razmazena
7120	10752	SP1	cyr	a, а, ма... била галена многу, размазена
11662	14682	SP1	lat	i ne slušala mnogu ni tatko ni majka
11662	14682	SP1	cyr	и не слушала многу ни татко ни мајка
14720	17170	SP1	lat	ajde, eden den se sobrale so drugarkite
14720	17170	SP1	cyr	ајде, еден ден се собрале со другарките
17810	20564	SP1	lat	ḱe odaat vo planina da sobiraat
17810	20564	SP1	cyr	ќе одаат во планина да собираат
21928	23672	SP1	lat	jagodki bea ili pečurki?
21928	23672	SP1	cyr	јагодки беа или печурки?
23550	24380	SP2	lat	pečurki
23550	24380	SP2	cyr	печурки
24598	25244	SP1	lat	ah?
24598	25244	SP1	cyr	ах?
24880	26000	SP2	lat	pečurki bea
24880	26000	SP2	cyr	печурки беа
25759	27811	SP1	lat	pečurki, ḱe sobiraa pečurki
25759	27811	SP1	cyr	печурки, ќе собираа печурки
27935	30767	SP1	lat	zemala košničinata vo race
27935	30767	SP1	cyr	земала кошничината во раце
30860	32831	SP1	lat	i odaat da sobiraat pečurki
30860	32831	SP1	cyr	и одаат да собираат печурки
33175	36305	SP1	lat	ama taja bila znaiš taka ponemirna
33175	36305	SP1	cyr	ама таја била знаиш така понемирна
36440	38874	SP1	lat	se oddelila od drugarkite
36440	38874	SP1	cyr	се одделила од другарките
39080	40390	SP1	lat	se oddelila
39080	40390	SP1	cyr	се одделила
40430	42278	SP1	lat	izgubila vo šuma, vo planina
40430	42278	SP1	cyr	изгубила во шума, во планина
42801	44750	SP1	lat	sea drugarive ja baraat
42801	44750	SP1	cyr	сеа другариве ја бараат
44800	47260	SP1	lat	Mašaaa, Maša, Maša
44800	47260	SP1	cyr	Машааа, Маша, Маша
47310	49015	SP1	lat	ja baraat, Maša nigde
47310	49015	SP1	cyr	ја бараат, Маша нигде
49112	53070	SP1	lat	Maša sama sega ne znaj kaj ḱe odi, cel den ja baraat ja nema
49112	53070	SP1	cyr	Маша сама сега не знај кај ќе оди, цел ден ја бараат ја нема
53320	56300	SP1	lat	veḱe počnalo da se stemnuva, mrak
53320	56300	SP1	cyr	веќе почнало да се стемнува, мрак
57060	59960	SP1	lat	i Maša počnala da plači
57060	59960	SP1	cyr	и Маша почнала да плачи
60290	64530	SP1	lat	sega kaj ḱe odi se plaši da ne ja izeat mečkite ili volcite
60290	64530	SP1	cyr	сега кај ќе оди се плаши да не ја изеат мечките или волците
64866	70520	SP1	lat	ama edno vreme za... zagledala vo edna k... vo edna koliba svetit
64866	70520	SP1	cyr	ама едно време за... загледала во една к... во една колиба светит
70980	74300	SP1	lat	svetalo so... svetalo bilo so gazija
70980	74300	SP1	cyr	светало со... светало било со газија
74350	78380	SP1	lat	malečko i so vielče i... i taka na svetalo živeele
74350	78380	SP1	cyr	малечко и со вителче и... и така на светало живееле
78500	81620	SP1	lat	i nie taka, i nie sme živeele taka vo selo
78500	81620	SP1	cyr	и ние така, и ние сме живееле така во село
81940	84220	SP1	lat	so lamba so gazija
81940	84220	SP1	cyr	со ламба со газија
84270	87292	SP1	lat	so svetalo vo kujnjata košo ḱe pečime leb
84270	87292	SP1	cyr	со светало во кујњата кошо ќе печиме леб
87676	90424	SP1	lat	i takva bila... selskite kuḱi
87676	90424	SP1	cyr	и таква била... селските куќи
90863	94790	SP1	lat	i sega, večerva majkata ja čeka Maša, ja nemat
90863	94790	SP1	cyr	и сега, вечерва мајката ја чека Маша, ја немат
95140	96980	SP1	lat	ja prašuva drugarkite
95140	96980	SP1	cyr	ја прашува другарките
97100	98650	SP1	lat	kade vi e Maša? vika
97100	98650	SP1	cyr	каде ви е Маша? вика
98720	100495	SP1	lat	Maša ni se izgubi
98720	100495	SP1	cyr	Маша ни се изгуби
100989	103308	SP1	lat	otišle da ja baraat i tie
100989	103308	SP1	cyr	отишле да ја бараат и тие
103710	104740	SP1	lat	nema!
103710	104740	SP1	cyr	нема!
105440	106540	SP1	lat	baraa
105440	106540	SP1	cyr	бараа
106560	110400	SP1	lat	a Maša otišla kaj babata vo kolibata
106560	110400	SP1	cyr	а Маша отишла кај бабата во колибата
110783	113716	SP1	lat	tropnala i, i babata ja primila
110783	113716	SP1	cyr	тропнала и, и бабата ја примила
113760	116787	SP1	lat	šo beše na bukvarite sednata na stolče
113760	116787	SP1	cyr	шо беше на букварите седната на столче
116810	119317	SP1	lat	masata na stolče sednata
116810	119317	SP1	cyr	масата на столче седната
119440	120136	SP1	lat	Maša
119440	120136	SP1	cyr	Маша
120597	122870	SP1	lat	i babava sea i dava da jadit
120597	122870	SP1	cyr	и бабава сеа и дава да јадит
