start_ms	end_ms	sp	kind	text
74	2553	SP1	lat	dobro, ajde, prvata ḱe ti ja kažam
74	2553	SP1	cyr	добро, ајде, првата ќе ти ја кажам
2630	4724	SP1	lat	so mrzlivata devojka
2630	4724	SP1	cyr	со мрзливата девојка
7230	9843	SP1	lat	dobro sum sednata, se vo red je
7230	9843	SP1	cyr	добро сум седната, се во ред је
8510	8868	SP2	lat	da
8510	8868	SP2	cyr	да
9890	13469	SP1	lat	e mrzlivata devojka trebalo da se mažit
9890	13469	SP1	cyr	е мрзливата девојка требало да се мажит
13830	16906	SP1	lat	idele strojnici, klaj si perniče pod gaz, na
13830	16906	SP1	cyr	иделе стројници, клај си перниче под газ, на
17260	20933	SP1	lat	idele, idele strojnici, koj ḱe ja posakat
17260	20933	SP1	cyr	иделе, иделе стројници, кој ќе ја посакат
21040	23385	SP1	lat	tatkoto i majkata ne ja davale
21040	23385	SP1	cyr	таткото и мајката не ја давале
23410	24709	SP1	lat	mu vikale, ne
23410	24709	SP1	cyr	му викале, не
25078	26700	SP1	lat	sinko, ne e za vas
25078	26700	SP1	cyr	синко, не е за вас
26820	28758	SP1	lat	taja je, mnogu bila mrzliva
26820	28758	SP1	cyr	таја је, многу била мрзлива
30705	31732	SP1	lat	i
30705	31732	SP1	cyr	и
31780	32884	SP1	lat	eden došol
31780	32884	SP1	cyr	еден дошол
33068	36513	SP1	lat	se vratil, došle drugi ja pobarale
33068	36513	SP1	cyr	се вратил, дошле други ја побарале
37505	38430	SP1	lat	pak
37505	38430	SP1	cyr	пак
38442	40535	SP1	lat	ne sa... ne mu ja davale
38442	40535	SP1	cyr	не са... не му ја давале
40557	41975	SP1	lat	ne e, sinko, za tebe
40557	41975	SP1	cyr	не е, синко, за тебе
42157	43406	SP1	lat	nogu e mrzliva
42157	43406	SP1	cyr	ногу е мрзлива
44000	45100	SP1	lat	i eden
44000	45100	SP1	cyr	и еден
45405	46680	SP1	lat	bil mnogu
45405	46680	SP1	cyr	бил многу
46826	48314	SP1	lat	silen taka
46826	48314	SP1	cyr	силен така
48436	50321	SP1	lat	bil nači opasen čovek
48436	50321	SP1	cyr	бил начи опасен човек
50484	52837	SP1	lat	dajte mi e, reče, mene, ja ḱe ja zemam
50484	52837	SP1	cyr	дајте ми е, рече, мене, ја ќе ја земам
53000	54986	SP1	lat	ja ḱe, ja ḱe ja naučam sè
53000	54986	SP1	cyr	ја ќе, ја ќе ја научам сè
55510	57063	SP1	lat	ne, sinko, ne!
55510	57063	SP1	cyr	не, синко, не!
57089	58155	SP1	lat	dajte mi ja!
57089	58155	SP1	cyr	дајте ми ја!
58173	59484	SP1	lat	mu ja dale
58173	59484	SP1	cyr	му ја дале
59947	62015	SP1	lat	mu ja dale, naprajle svadba
59947	62015	SP1	cyr	му ја дале, напрајле свадба
62684	64420	SP1	lat	jadele, pijale
62684	64420	SP1	cyr	јаделе, пијале
64478	68948	SP1	lat	šo imalo o svadbata, šo ostanalo lebče, edno drugo, sè
64478	68948	SP1	cyr	шо имало о свадбата, шо останало лебче, едно друго, сè
69084	72516	SP1	lat	i taja samo, samo čekat, šo imale izele
69084	72516	SP1	cyr	и таја само, само чекат, шо имале изеле
72794	75358	SP1	lat	i sega nema šo da jadat
72794	75358	SP1	cyr	и сега нема шо да јадат
75642	76935	SP1	lat	mažov sega
75642	76935	SP1	cyr	мажов сега
77342	78392	SP1	lat	vika
77342	78392	SP1	cyr	вика
79415	81156	SP1	lat	s kupil edno kožuvče
79415	81156	SP1	cyr	с купил едно кожувче
81168	82144	SP1	lat	ženo
81168	82144	SP1	cyr	жено
82232	84130	SP1	lat	aj obleči go kožuvčevo, reče
82232	84130	SP1	cyr	ај облечи го кожувчево, рече
84687	85756	SP1	lat	na tebe
84687	85756	SP1	cyr	на тебе
86305	87336	SP1	lat	i
86305	87336	SP1	cyr	и
87594	88303	SP1	lat	mu vikat
87594	88303	SP1	cyr	му викат
88544	89815	SP1	lat	kožuvče
88544	89815	SP1	cyr	кожувче
89913	92178	SP1	lat	da, sega slušaj me šo ḱe ti kažam
89913	92178	SP1	cyr	да, сега слушај ме шо ќе ти кажам
93520	95444	SP1	lat	da staniš sabajle
93520	95444	SP1	cyr	да станиш сабајле
95488	97358	SP1	lat	da se izmijaš obraz
95488	97358	SP1	cyr	да се измијаш образ
97703	98911	SP1	lat	da se isčešlaš
97703	98911	SP1	cyr	да се исчешлаш
99444	101124	SP1	lat	da gi zasučiš rakavite
99444	101124	SP1	cyr	да ги засучиш ракавите
101515	103521	SP1	lat	da zamesiš leb
101515	103521	SP1	cyr	да замесиш леб
103560	105492	SP1	lat	kako Baba Mare šo mesit
103560	105492	SP1	cyr	како Баба Маре шо месит
105866	107428	SP1	lat	kifli i pogači
105866	107428	SP1	cyr	кифли и погачи
108590	111830	SP1	lat	i da napraviš ruček ili sarma
108590	111830	SP1	cyr	и да направиш ручек или сарма
112357	115763	SP1	lat	ko ḱe dojdam od oranje ḱe ručame zaedno
112357	115763	SP1	cyr	ко ќе дојдам од орање ќе ручаме заедно
