start_ms	end_ms	sp	kind	text
1025	3480	SP1	lat	sega sakam edna prikaska da ì kažam
1025	3480	SP1	cyr	сега сакам една прикаска да и кажам
4616	5904	SP1	lat	e sega ovaka
4616	5904	SP1	cyr	е сега овака
6859	9163	SP1	lat	znači bil si eden trgovec
6859	9163	SP1	cyr	значи бил си еден трговец
10034	11597	SP1	lat	odel znaeš i trgovec
10034	11597	SP1	cyr	одел знаеш и трговец
11747	14104	SP1	lat	Kole znae kako odel po kuḱive
11747	14104	SP1	cyr	Коле знае како одел по куќиве
15264	15924	SP1	lat	bara
15264	15924	SP1	cyr	бара
16426	20607	SP1	lat	da... stoka. Kaj što ima. Volovi, ovci,
16426	20607	SP1	cyr	да... стока. Кај што има. Волови, овци,
20607	21690	SP1	lat	sve da kupuva
20607	21690	SP1	cyr	све да купува
22493	23182	SP1	lat	za pari
22493	23182	SP1	cyr	за пари
24595	26871	SP1	lat	i nao... noḱ ga fatilo
24595	26871	SP1	cyr	и нао... ноќ гa фатило
27437	28031	SP1	lat	i on
27437	28031	SP1	cyr	и он
28442	32817	SP1	lat	došol do edna kuḱička. Videl svetlo i došol rekol tuka da prenoḱuva.
28442	32817	SP1	cyr	дошол до една куќичка. Видел светло и дошол рекол тука да преноќува.
33824	34967	SP1	lat	čuknal na vrata
33824	34967	SP1	cyr	чукнал на врата
35213	36601	SP1	lat	koga vlegol ovoj
35213	36601	SP1	cyr	кога влегол овој
37241	39006	SP1	lat	toj mažot iskočil na ženata
37241	39006	SP1	cyr	тој мажот искочил на жената
39095	39783	SP1	lat	a imale
39095	39783	SP1	cyr	а имале
40192	41239	SP1	lat	novorodenče
40192	41239	SP1	cyr	новороденче
42965	43855	SP1	lat	i go puštile
42965	43855	SP1	cyr	и го пуштиле
44814	45525	SP1	lat	rekle
44814	45525	SP1	cyr	рекле
45954	47158	SP1	lat	nis... imam
45954	47158	SP1	cyr	нис... имам
48082	49984	SP1	lat	četiri deca, ovo petto bilo
48082	49984	SP1	cyr	четири деца, ово петто било
50746	51454	SP1	lat	i toa maško
50746	51454	SP1	cyr	и тоа машко
52798	53750	SP1	lat	i reče
52798	53750	SP1	cyr	и рече
54147	57164	SP1	lat	ama ḱe te puštam reče dobar čovek si
54147	57164	SP1	cyr	ама ќе те пуштам рече добар човек си
57976	59529	SP1	lat	go puštile nego
57976	59529	SP1	cyr	го пуштиле него
60029	61244	SP1	lat	ama reče ovoj večer
60029	61244	SP1	cyr	ама рече овој вечер
61847	64096	SP1	lat	sudenica ḱe mu sudi deti večer
61847	64096	SP1	cyr	суденица ќе му суди дети вечер
64855	68454	SP1	lat	kako ḱe živee kade ḱe živee za to novorodenče što bilo
64855	68454	SP1	cyr	како ќе живее каде ќе живее за то новороденче што било
69570	70796	SP1	lat	dobro rekol
69570	70796	SP1	cyr	добро рекол
71579	75543	SP1	lat	i oni znaeš i umorni i edno drugo dete gi plačelo porano
71579	75543	SP1	cyr	и они знаеш и уморни и едно друго дете ги плачело порано
76199	78531	SP1	lat	i zaspale, ženata i mažot
76199	78531	SP1	cyr	и заспале, жената и мажот
79336	81590	SP1	lat	a trgovecot se interesiral
79336	81590	SP1	cyr	а трговецот се интересирал
82387	84548	SP1	lat	kako ovoa novoroǵenče
82387	84548	SP1	cyr	како овоа новороѓенче
85312	86810	SP1	lat	što mu sudi sudenica
85312	86810	SP1	cyr	што му суди суденица
88516	88889	SP1	lat	i
88516	88889	SP1	cyr	и
89238	90274	SP1	lat	ovie zaspale
89238	90274	SP1	cyr	овие заспале
91147	92016	SP1	lat	došle tri
91147	92016	SP1	cyr	дошле три
92298	93031	SP1	lat	suǵenici
92298	93031	SP1	cyr	суѓеници
94445	95829	SP1	lat	a on ne spie trgovecot
94445	95829	SP1	cyr	а он не спие трговецот
97001	98334	SP1	lat	reče ovo
97001	98334	SP1	cyr	рече ово
98640	100224	SP1	lat	a edna rekla daj da go utepame
98640	100224	SP1	cyr	а една рекла дај да го утепаме
100786	104439	SP1	lat	edna rekla ne ne ostavi ga reče neka si živee malečko e
100786	104439	SP1	cyr	една рекла не не остави гa рече нека си живее малечко е
105262	106527	SP1	lat	a tretata rekla
105262	106527	SP1	cyr	а третата рекла
106871	112005	SP1	lat	ne reče ostavi go ovo trg... ovo novoroǵenče na ovoj trgovec imanje ḱe go izede
106871	112005	SP1	cyr	не рече остави го ово трг... ово новороѓенче на овој трговец имање ќе го изеде
112822	115283	SP1	lat	i on znaeš se videl čudo nevideno
112822	115283	SP1	cyr	и он знаеш се видел чудо невидено
116535	117209	SP1	lat	dobro
116535	117209	SP1	cyr	добро
117932	120169	SP1	lat	ovie koa stanale on si otišol
117932	120169	SP1	cyr	овие коа станале он си отишол
121868	128067	SP1	lat	i sega se čudi što da pravi, kako toa da izede negovo imanje koga imal
121868	128067	SP1	cyr	и сега се чуди што да прави, како тоа да изеде негово имање кога имал
128467	129646	SP1	lat	i ḱerka i sin
128467	129646	SP1	cyr	и ќерка и син
131556	132396	SP1	lat	e sega
131556	132396	SP1	cyr	е сега
133023	136984	SP1	lat	pominale pet godine ili tri godine... tri godine pominale
133023	136984	SP1	cyr	поминале пет године или три године... три године поминале
137372	139666	SP1	lat	i on pominue pak vo istata kuḱa
137372	139666	SP1	cyr	и он поминуе пак во истата куќа
141080	145468	SP1	lat	doaǵa i da go vidu vika toj novoroǵenče što se rodi togaš što beše rodeno
