start_ms	end_ms	sp	kind	text
3800	6311	SP1	lat	ajde, si bile
3800	6311	SP1	cyr	ајде, си биле
7840	10019	SP1	lat	nekoja n... nevesta
7840	10019	SP1	cyr	некоја н... невеста
10130	13749	SP1	lat	so, so, so mažot, mu se rodilo dete
10130	13749	SP1	cyr	со, со, со мажот, му се родило дете
14160	17400	SP1	lat	e, ko se rodilo deteto, bilo običaj
14160	17400	SP1	cyr	е, ко се родило детето, било обичај
17470	20111	SP1	lat	tretata večer da sedat babite
17470	20111	SP1	cyr	третата вечер да седат бабите
20430	23112	SP1	lat	da slušat ko ḱe dojdat narečnicite
20430	23112	SP1	cyr	да слушат ко ќе дојдат наречниците
23180	25785	SP1	lat	kakva sreḱa ḱe mu daat na deteto
23180	25785	SP1	cyr	каква среќа ќе му даат на детето
27920	35042	SP1	lat	na... narečnicite kažuvale dali ḱe završi školo, dali ḱe se omaži, dali ḱe rodi deca ko ḱe se omaži
27920	35042	SP1	cyr	на... наречниците кажувале дали ќе заврши школо, дали ќе се омажи, дали ќе роди деца ко ќе се омажи
36650	39101	SP1	lat	dali ḱe se zaposlit, i taka
36650	39101	SP1	cyr	дали ќе се запослит, и така
39640	41843	SP1	lat	e sega, ženite
39640	41843	SP1	cyr	е сега, жените
41890	43730	SP1	lat	babite pozaspale
41890	43730	SP1	cyr	бабите позаспале
43840	48730	SP1	lat	ama momokov rekol ja sega ḱe sedam, nema da spijam, ḱe slušam
43840	48730	SP1	cyr	ама момоков рекол ја сега ќе седам, нема да спијам, ќе слушам
49290	53140	SP1	lat	ḱe slušam ko ḱe dojdat narečnicite, tie bile samovili
49290	53140	SP1	cyr	ќе слушам ко ќе дојдат нареќниците, тие биле самовили
53220	54403	SP1	lat	se vikale samovili
53220	54403	SP1	cyr	се викале самовили
55830	57033	SP1	lat	ednata vikat
55830	57033	SP1	cyr	едната викат
57202	58877	SP1	lat	da ì go zemime detevo
57202	58877	SP1	cyr	да и го земиме детево
60500	62150	SP1	lat	drugata vika ne
60500	62150	SP1	cyr	другата вика не
62230	66140	SP1	lat	ne, da ì go ostajme, vika, neka se, neka se poraduvat
62230	66140	SP1	cyr	не, да и го остајме, вика, нека се, нека се порадуват
67440	70360	SP1	lat	neka se poraduva, vika, neka e, neka ì rastit
67440	70360	SP1	cyr	нека се порадува, вика, нека е, нека и растит
71290	74024	SP1	lat	tretata vikat isto
71290	74024	SP1	cyr	третата викат исто
74110	76461	SP1	lat	neka, neka, neka narastit
74110	76461	SP1	cyr	нека, нека, нека нарастит
76857	79600	SP1	lat	ama, vikat
76857	79600	SP1	cyr	ама, викат
81590	84078	SP1	lat	momokot ḱe ja zakačit na kol
81590	84078	SP1	cyr	момокот ќе ја закачит на кол
84540	86399	SP1	lat	ḱe ja, ḱe ja račepit
84540	86399	SP1	cyr	ќе ја, ќе ја рачепит
86780	92814	SP1	lat	ko ḱe narasti golema, oti momokot, ḱe, ḱe, ḱe ja zemi za žena
86780	92814	SP1	cyr	ко ќе нарасти голема, оти момокот, ќе, ќе, ќе ја земи за жена
93510	98130	SP1	lat	i ovoj slušat, slušat sega toa što go slušal ne kažuva
93510	98130	SP1	cyr	и овој слушат, слушат сега тоа што го слушал не кажува
98200	101798	SP1	lat	na nikomu ne kažuva, pominalo vreme, bil tuka momok
98200	101798	SP1	cyr	на никому не кажува, поминало време, бил тука момок
101850	104060	SP1	lat	otišol na drugo mesto nekade
101850	104060	SP1	cyr	отишол на друго место некаде
104120	106816	SP1	lat	veḱe ovaa narasnala devojka za maženje
104120	106816	SP1	cyr	веќе оваа нараснала девојка за мажење
107190	109500	SP1	lat	ama košo bila probodena imala vo
107190	109500	SP1	cyr	ама кошо била прободена имала во
109580	112743	SP1	lat	ednata noga golema luzna, kako šo bila zakačena
109580	112743	SP1	cyr	едната нога голема лузна, како шо била закачена
114100	117597	SP1	lat	i sega došlo vreme, ḱe se ženi momokov
114100	117597	SP1	cyr	и сега дошло време, ќе се жени момоков
118220	121836	SP1	lat	ajde ovde, onde, ovaja, onaja, nema koja
118220	121836	SP1	cyr	ајде овде, онде, оваја, онаја, нема која
122150	125924	SP1	lat	ajde taja, ajde ḱe ja zemime Neda
122150	125924	SP1	cyr	ајде таја, ајде ќе ја земиме Неда
126320	131780	SP1	lat	ḱe ja zemime Neda e t... ubava devojka, od familija e, ḱe ja zemime nejze
126320	131780	SP1	cyr	ќе ја земиме Неда е т... убава девојка, од фамилија е, ќе ја земиме нејзе
132340	134409	SP1	lat	ajde naprajle veridba
132340	134409	SP1	cyr	ајде напрајле веридба
136600	138367	SP1	lat	napravile svadba
136600	138367	SP1	cyr	направиле свадба
138710	139358	SP1	lat	i sega
138710	139358	SP1	cyr	и сега
139838	141073	SP1	lat	toj je
139838	141073	SP1	cyr	тој је
141220	142598	SP1	lat	je prašuvat
141220	142598	SP1	cyr	је прашуват
143014	144757	SP1	lat	zašto, vika
143014	144757	SP1	cyr	зашто, вика
144860	147129	SP1	lat	je videl, žena mu je veḱe
144860	147129	SP1	cyr	је видел, жена му је веќе
147507	150738	SP1	lat	šo ti e, vika, luznata, vika, na nogata?
147507	150738	SP1	cyr	шо ти е, вика, лузната, вика, на ногата?
151558	153595	SP1	lat	ko sum bila mala, vika
151558	153595	SP1	cyr	ко сум била мала, вика
153705	157715	SP1	lat	ko došle, vika, trite narečnici, samofili... samovilite
153705	157715	SP1	cyr	ко дошле, вика, трите наречници, самофили... самовилите
157882	161647	SP1	lat	rekle, nači, momokot ḱe ja zemi
157882	161647	SP1	cyr	рекле, начи, момокот ќе ја земи
161838	169204	SP1	lat	a momokot ne veruval, rekol, kako e ovoa, sea sega se rodi, jas so tolku godini, da ja zemam za žena?
161838	169204	SP1	cyr	а мамокот не верувал, рекол, како е овоа, сеа сега се роди, јас со толку години, да ја земам за жена?
169595	175036	SP1	lat	i taka nači na... rekle narečnicite i od sudbinata ne se begalo
169595	175036	SP1	cyr	и така начи на... рекле наречниците и од судбината не се бегало
175213	181351	SP1	lat	mu stanala žena i si imale i deca i si živeele ubav život
175213	181351	SP1	cyr	му станала жена и си имале и деца и си живееле убав живот
181772	183217	SP1	lat	taja e tolku
181772	183217	SP1	cyr	таја е толку
