start_ms	end_ms	sp	kind	text
1124	2702	SP1	lat	prikaznava što ḱe ja raskažam
1124	2702	SP1	cyr	приказнава што ќе ја раскажам
2779	4895	SP1	lat	ḱe ja raskažam na kičevski
2779	4895	SP1	cyr	ќе ја раскажам на кичевски
4912	5691	SP1	lat	govor
4912	5691	SP1	cyr	говор
6249	7998	SP1	lat	i se raboti za stara
6249	7998	SP1	cyr	и се работи за стара
8311	10956	SP1	lat	prikazna, mnogu stara prikazna so
8311	10956	SP1	cyr	приказна, многу стара приказна со
11063	13748	SP1	lat	a, so pouka na krajot
11063	13748	SP1	cyr	а, со поука на крајот
14747	16791	SP1	lat	si bilo edno ovčarče
14747	16791	SP1	cyr	си било едно овчарче
17835	21316	SP1	lat	i ovčarčeto sekoj den si gi čuvalo ovcite
17835	21316	SP1	cyr	и овчарчето секој ден си ги чувало овците
21559	22375	SP1	lat	arno ama
21559	22375	SP1	cyr	арно ама
23001	24644	SP1	lat	mu bilo mnogu dosadno
23001	24644	SP1	cyr	му било многу досадно
25764	26320	SP1	lat	i
25764	26320	SP1	cyr	и
26747	27657	SP1	lat	za da se
26747	27657	SP1	cyr	за да се
27738	29772	SP1	lat	poigra majtap so selanite
27738	29772	SP1	cyr	поигра мајтап со селаните
30153	31332	SP1	lat	od vreme na vreme
30153	31332	SP1	cyr	од време на време
32012	33150	SP1	lat	što pravelo?
32012	33150	SP1	cyr	што правело?
33283	34262	SP1	lat	ḱe sedne
33283	34262	SP1	cyr	ќе седне
34970	36381	SP1	lat	i ḱe počne da vika
34970	36381	SP1	cyr	и ќе почне да вика
37328	39479	SP1	lat	pomoš! volk!
37328	39479	SP1	cyr	помош! волк!
39711	43996	SP1	lat	pomagajte selani! dojde volk! mi gi izede ovcite!
39711	43996	SP1	cyr	помагајте селани! дојде волк! ми ги изеде овците!
45375	46816	SP1	lat	i togaš selanite
45375	46816	SP1	cyr	и тогаш селаните
47311	48497	SP1	lat	ḱe se soberele
47311	48497	SP1	cyr	ќе се собереле
49768	51775	SP1	lat	i ḱe se zatrčale site
49768	51775	SP1	cyr	и ќе се затрчале сите
52035	53134	SP1	lat	lele!
52035	53134	SP1	cyr	леле!
53260	55784	SP1	lat	pomagajte, da mu pomogneme, brzajte!
53260	55784	SP1	cyr	помагајте, да му помогнеме, брзајте!
56414	59497	SP1	lat	hajde, da o... da odime da mu pomogneme na ovčarot
56414	59497	SP1	cyr	хајде, да о... да одиме да му помогнеме на овчарот
59773	61030	SP1	lat	mu došol volk
59773	61030	SP1	cyr	му дошол волк
62998	65162	SP1	lat	odat tamu kaj ovčarčeto
