start_ms	end_ms	sp	kind	text
240	2047	SP1	lat	ov... ovenot i kozata
240	2047	SP1	cyr	ов... овенот и козата
2621	3208	SP1	lat	vaka
2621	3208	SP1	cyr	вака
3402	7182	SP1	lat	ovenot i kozata bile prijateli, drugarčinja
3402	7182	SP1	cyr	овенот и козата биле пријатели, другарчиња
7244	9954	SP1	lat	i si igrale, si trčale po ledinkite
7244	9954	SP1	cyr	и си играле, си трчале по лединките
10587	12314	SP1	lat	i letno vreme
10587	12314	SP1	cyr	и летно време
13896	14894	SP1	lat	trčale
13896	14894	SP1	cyr	трчале
15363	19055	SP1	lat	i kozata sekogaš se kačuva po karpestite predeli
15363	19055	SP1	cyr	и козата секогаш се качува по карпестите предели
19304	23819	SP1	lat	i ovenot nemože tolku da se iskačuva i toj ostanuval vo podnožieto
19304	23819	SP1	cyr	и овенот неможе толку да се искачува и тој останувал во подножието
23825	25541	SP1	lat	ovaa se kačuvala nagore
23825	25541	SP1	cyr	оваа се качувала нагоре
26000	28670	SP1	lat	i koa ḱe se kačela gore na karpite
26000	28670	SP1	cyr	и коа ќе се качела горе на карпите
28771	30410	SP1	lat	i mu butkala kamenja
28771	30410	SP1	cyr	и му буткала камења
30608	31452	SP1	lat	odozgora
30608	31452	SP1	cyr	одозгора
32177	32811	SP1	lat	i
32177	32811	SP1	cyr	и
33467	35263	SP1	lat	ovenot ḱe prašuval
33467	35263	SP1	cyr	овенот ќе прашувал
35430	37262	SP1	lat	koj mi butka kamenja?
35430	37262	SP1	cyr	кој ми бутка камења?
37271	40172	SP1	lat	a toj nemožel da gleda, ja kriel glavata
37271	40172	SP1	cyr	а тој неможел да гледа, ја криел главата
40343	43579	SP1	lat	za, za da ne go pogodi nekoj kamen vo okoto
40343	43579	SP1	cyr	за, за да не го погоди некој камен во окото
43622	46187	SP1	lat	i s... prašuval zošto se čudel
43622	46187	SP1	cyr	и с... прашувал зошто се чудел
46437	49872	SP1	lat	kozata mu e drugarka, kako može da mu butka kamenja?
46437	49872	SP1	cyr	козата му е другарка, како може да му бутка камења?
50304	55239	SP1	lat	i ovaa odoz... so, so zadnata noga mu butkala kamenja odozgora
50304	55239	SP1	cyr	и оваа одоз... со, со задната нога му буткала камења одозгора
55556	56170	SP1	lat	i ovoj
55556	56170	SP1	cyr	и овој
56285	58381	SP1	lat	koj mi butka kamenja?
56285	58381	SP1	cyr	кој ми бутка камења?
58543	59349	SP1	lat	i ovaa
58543	59349	SP1	cyr	и оваа
59769	61841	SP1	lat	Ubaciva Kozica!
59769	61841	SP1	cyr	Убацива Козица!
61969	64563	SP1	lat	hahaha! se javuvala odozgora
61969	64563	SP1	cyr	ха ха ха! се јавувала одозгора
64815	68175	SP1	lat	duri i gorda deka taa može poveḱe da se iskači
64815	68175	SP1	cyr	дури и горда дека таа може повеќе да се искачи
69012	71385	SP1	lat	i arno ama ḱe došla zimata
69012	71385	SP1	cyr	и арно ама ќе дошла зимата
71400	74862	SP1	lat	i kozata ima kozina ama taa ne e tolku
71400	74862	SP1	cyr	и козата има козина ама таа не е толку
74916	75555	SP1	lat	topla
74916	75555	SP1	cyr	топла
75813	78442	SP1	lat	nači ovenot si ima ubava volna
75813	78442	SP1	cyr	начи овенот си има убава волна
78995	82449	SP1	lat	i taa ḱe počnela da se butka vo ovenot za da se stopli
78995	82449	SP1	cyr	и таа ќе почнела да се бутка во овенот за да се стопли
83256	84922	SP1	lat	i ovoj ḱe počne da prašuva
83256	84922	SP1	cyr	и овој ќе почне да прашува
85460	88332	SP1	lat	koj se butka u mene? i ovaja
85460	88332	SP1	cyr	кој се бутка у мене? и оваја
89375	92326	SP1	lat	Sirotica Kozica! hahaha!
89375	92326	SP1	cyr	Сиротица Козица! ха ха ха!
93431	94000	SP1	lat	i
93431	94000	SP1	cyr	и
94180	94874	SP1	lat	togaš
94180	94874	SP1	cyr	тогаш
96123	97176	SP1	lat	ovenot rekol
96123	97176	SP1	cyr	овенот рекол
97194	97995	SP1	lat	aaaa
97194	97995	SP1	cyr	аааа
98013	103862	SP1	lat	Sirotica Kozica? a koga beš... a na leto koga mi butkaše kamenja odozgora?
98013	103862	SP1	cyr	Сиротица Козица? а кога беш... а на лето кога ми буткаше камења одозгора?
103908	105333	SP1	lat	kako mi beše mene?
103908	105333	SP1	cyr	како ми беше мене?
105699	111499	SP1	lat	a, ako sakaš da te puštam da se topliš, drug pat i n... na leto ḱe bideš drugarka!
105699	111499	SP1	cyr	а, ако сакаш да те пуштам да се топлиш, друг пат и н... на лето ќе бидеш другарка!
111927	115218	SP1	lat	i taka kozata si ja naučila lekcijata
111927	115218	SP1	cyr	и така козата си ја научила лекцијата
115972	117170	SP1	lat	/laughs/
115972	117170	SP1	cyr	/laughs/
116001	118356	SP2	lat	fala mnogu, baš dobra e
116001	118356	SP2	cyr	фала многу, баш добра е
