start_ms	end_ms	sp	kind	text
33	1463	SP1	lat	istrčala od
33	1463	SP1	cyr	истрчала од
1578	5211	SP1	lat	balskata... d... balskiot... balskata sala
1578	5211	SP1	cyr	балската... д... балскиот... балската сала
5221	6790	SP1	lat	i trgnala nakaj doma
5221	6790	SP1	cyr	и тргнала накај дома
6799	9520	SP1	lat	samo što stignala do doma veḱe oddzvonil polnoḱ
6799	9520	SP1	cyr	само што стигнала до дома веќе одѕвонил полноќ
9520	12376	SP1	lat	i povtorno znači isčeznala magijata
9520	12376	SP1	cyr	и повторно значи исчезнала магијата
12398	14392	SP1	lat	Pepelaška ostanala so gluvcite,
12398	14392	SP1	cyr	Пепелашка останала со глувците,
14398	16062	SP1	lat	tikvata, i stariot fustan
14398	16062	SP1	cyr	тиквата, и стариот фустан
16062	17676	SP1	lat	meǵutoa trčajki
16062	17676	SP1	cyr	меѓутоа трчајки
17677	20374	SP1	lat	taa ja zaboravila, ì padnalo edno čevliče
17677	20374	SP1	cyr	таа ја заборавила, и паднало едно чевличе
20374	22371	SP1	lat	i čevličeto ostanalo na pa(n)tot
20374	22371	SP1	cyr	и чевличето останало на па(н)тот
22382	23991	SP1	lat	princot trčal po nego
22382	23991	SP1	cyr	принцот трчал по него
23991	26872	SP1	lat	no ne uspe... po nejze... no ne uspeal da ja najde Pepelaška
23991	26872	SP1	cyr	но не успе... по нејзе... но не успеал да ја најде Пепелашка
26879	28797	SP1	lat	uspeal samo da go najde čevličeto
26879	28797	SP1	cyr	успеал само да го најде чевличето
28797	31430	SP1	lat	princot bil rešen da ja pronajde Pepelaška
28797	31430	SP1	cyr	принцот бил решен да ја пронајде Пепелашка
31432	33012	SP1	lat	i da ja zeme za svoja žena
31432	33012	SP1	cyr	и да ја земе за своја жена
33012	35789	SP1	lat	zatoa objavil proglas niz celoto kralstvo
33012	35789	SP1	cyr	затоа објавил проглас низ целото кралство
35795	37392	SP1	lat	deka ḱe trgne so čevličeto
35795	37392	SP1	cyr	дека ќе тргне со чевличето
37458	41369	SP1	lat	i site devojki vo kralstvoto imaat za zadača da go probaat čevličeto
37458	41369	SP1	cyr	и сите девојки во кралството имаат за задача да го пробаат чевличето
41369	44255	SP1	lat	na onaa devojka na koja što ḱe ì bide točno čevličeto
41369	44255	SP1	cyr	на онаа девојка на која што ќе и биде точно чевличето
44255	47380	SP1	lat	taa e idnata princeza, odnosno idnata žena na princot
44255	47380	SP1	cyr	таа е идната принцеза, односно идната жена на принцот
47380	50861	SP1	lat	mnogu devojki niz kralstvoto go probuvale čevličeto
47380	50861	SP1	cyr	многу девојки низ кралството го пробувале чевличето
50863	53475	SP1	lat	no nitu na edna devojka ne ì bilo točno čevličeto
50863	53475	SP1	cyr	но ниту на една девојка не и било точно чевличето
53482	57351	SP1	lat	taka princot so svojte... slugi došol i vo domot na lošata maḱea
53482	57351	SP1	cyr	така принцот со својте... слуги дошол и во домот на лошата маќеа
57569	62929	SP1	lat	eh, se razbira maḱeata ja zaklučila Pepelaška i ne ja puštala da go p... da go proba čevličeto
57569	62929	SP1	cyr	ех, се разбира маќеата ја заклучила Пепелашка и не ја пуштала да го п... да го проба чевличето
62951	65408	SP1	lat	eh, dvete ḱerki na... maḱeata
62951	65408	SP1	cyr	ех, двете ќерки на... маќеата
65450	73612	SP1	lat	eh, dvete ḱerki na maḱeata go probuvale čevličeto no zaludno, nitu ne mu... ne ì bilo točno čevličeto ne ì bilo točno čevličeto i ne ì se faḱalo na nogata
65450	73612	SP1	cyr	ех, двете ќерки на маќеата го пробувале чевличето но залудно, ниту не му... не и било точно чевличето не и било точно чевличето и не и се фаќало на ногата
74094	76362	SP1	lat	aaa, i togaš princot
74094	76362	SP1	cyr	ааа, и тогаш принцот
76366	80964	SP1	lat	dlaboko razočaran, bideḱi veḱe toa bilo skoro poslednata k... kuḱa vo gradot
76366	80964	SP1	cyr	длабоко разочаран, бидеќи веќе тоа било скоро последната к... куќа во градот
80976	84527	SP1	lat	kade što devojkite trebalo da gi probaat čevličeto, trgnal da si odi
80976	84527	SP1	cyr	каде што девојките требало да ги пробаат чевличето, тргнал да си оди
84527	87240	SP1	lat	no gluvčinjata go videle princot i povikale
84527	87240	SP1	cyr	но глувчињата го виделе принцот и повикале
87256	88470	SP1	lat	princu, princu, princu!
87256	88470	SP1	cyr	принцу, принцу, принцу!
88486	92229	SP1	lat	an... tuka ima ušte edna devojka koja što treba da go proba čevličeto
88486	92229	SP1	cyr	ан... тука има уште една девојка која што треба да го проба чевличето
92229	98116	SP1	lat	princot rekol, nemože, jas prašav, mi rekoa deka tuka ima samo dve devojki koj što možat da go probaat
92229	98116	SP1	cyr	принцот рекол, неможе, јас прашав, ми рекоа дека тука има само све девојки кој што можат да го пробаат
98522	100933	SP1	lat	mm, da go probaat čevličeto
98522	100933	SP1	cyr	ах, да го пробаат чевличето
100933	103576	SP1	lat	no gluvčinjata se kačile eden vrz drug
100933	103576	SP1	cyr	но глувчињата се качиле еден врз друг
103654	106058	SP1	lat	eden vrz drug, go zemale klučot
103654	106058	SP1	cyr	еден врз друг, го земале клучот
106072	109122	SP1	lat	ja otvorile vrata kade što bila Pepelaška
106072	109122	SP1	cyr	ја отвориле врата каде што била Пепелашка
109124	110262	SP1	lat	i, ah
109124	110262	SP1	cyr	и, ах
110272	111290	SP1	lat	ja otklučile
110272	111290	SP1	cyr	ја отклучиле
111320	112960	SP1	lat	i ja odnele pred princot
111320	112960	SP1	cyr	и ја однеле пред принцот
112960	117184	SP1	lat	princot ušte koa ja videl znael deka toa e devojkata so koja što igral cela noḱ
112960	117184	SP1	cyr	принцот уште коа ја видел знаел дека тоа е девојката со која што играл цела ноќ
117212	118864	SP1	lat	ì go podal čevličeto
117212	118864	SP1	cyr	и го подал чевличето
118864	121132	SP1	lat	mm, Pepelaška go oblekla čevličeto
118864	121132	SP1	cyr	ех, Пепелашка го облекла чевличето
121156	123647	SP1	lat	i toa sovršeno ì stoelo na nejzinata noga
121156	123647	SP1	cyr	и тоа совршено и стоело на нејзината нога
124026	126308	SP1	lat	a, č... Pepelaška bila, mm
124026	126308	SP1	cyr	а, ч... Пепелашка била, мм
126350	128908	SP1	lat	bila idnata princeza
126350	128908	SP1	cyr	била идната принцеза
128908	131080	SP1	lat	princot vednaš ja zemal Pepelaška
128908	131080	SP1	cyr	принцот веднаш ја земал Пепелашка
131690	133798	SP1	lat	a, se oženil so nejze
131690	133798	SP1	cyr	а, се оженил со нејзе
133810	136962	SP1	lat	i tie si živeele sreḱno do krajot na životot
133810	136962	SP1	cyr	и тие си живееле среќно до крајот на животот
137004	142290	SP1	lat	imaše i nešto što ì se sluči lošata l... maḱea, ama ne sum sigurna što stana so lošata maḱea
