start_ms	end_ms	sp	kind	text
1047	3081	SP1	lat	sega da ti kažam jas
1047	3081	SP1	cyr	сега да ти кажам јас
3302	4771	SP1	lat	bideḱi imam mnogu godini
3302	4771	SP1	cyr	бидеќи имам многу години
5229	6882	SP1	lat	i mnogu prikaski
5229	6882	SP1	cyr	и многу прикаски
7368	8860	SP1	lat	edna od prikaskite
7368	8860	SP1	cyr	една од прикаските
9700	12091	SP1	lat	so edna baba, dedo
9700	12091	SP1	cyr	со една баба, дедо
12220	13240	SP1	lat	i edno petle
12220	13240	SP1	cyr	и едно петле
13485	16690	SP1	lat	babata i dedoto si živeele siromaški ama imale
13485	16690	SP1	cyr	бабата и дедото си живееле сиромашки ама имале
17110	18121	SP1	lat	edno petle
17110	18121	SP1	cyr	едно петле
18510	20537	SP1	lat	koe bilo mnogu prgavo
18510	20537	SP1	cyr	кое било многу пргаво
20810	23470	SP1	lat	koe mnogu bilo levo-desno
20810	23470	SP1	cyr	кое многу било лево-десно
23831	25483	SP1	lat	kolni vamu, kolni tamu
23831	25483	SP1	cyr	колни ваму, колни таму
25927	27622	SP1	lat	i pravelo belji
25927	27622	SP1	cyr	и правело бељи
28026	29900	SP1	lat	eden den babata sednala
28026	29900	SP1	cyr	еден ден бабата седнала
30191	31200	SP1	lat	da mesi
30191	31200	SP1	cyr	да меси
31600	32680	SP1	lat	zelnik
31600	32680	SP1	cyr	зелник
33100	35715	SP1	lat	ko, koa počnala, go mesi zelnikot, da go suči
33100	35715	SP1	cyr	ко, коа почнала, го меси зелникот, да го сучи
36071	37062	SP1	lat	petleto
36071	37062	SP1	cyr	петлето
37500	39780	SP1	lat	došlo i kolvnalo v zelnikot
37500	39780	SP1	cyr	дошло и колвнало в зелникот
40224	43301	SP1	lat	deka kolvnalo od zelnikot babata go zemala so
40224	43301	SP1	cyr	дека колвнало од зелникот бабата го земала со
43580	47720	SP1	lat	sukaloto i po nogata, mu ja skršila nogata na petleto
43580	47720	SP1	cyr	сукалото и по ногата, му ја скршила ногата на петлето
48183	50696	SP1	lat	i petleto reklo, ee, babo, babo
48183	50696	SP1	cyr	и петлето рекло, ее, бабо, бабо
50790	52656	SP1	lat	šo napraj? mi ja skrši nogata
50790	52656	SP1	cyr	шо напрај? ми ја скрши ногата
52760	55860	SP1	lat	sega ḱe odam na davija kaj carot
52760	55860	SP1	cyr	сега ќе одам на давија кај царот
56546	59100	SP1	lat	ko trgnalo... kako ḱe odiš? taka ḱe odam!
56546	59100	SP1	cyr	ко тргнало... како ќе одиш? така ќе одам!
