start_ms	end_ms	sp	kind	text
250	1260	SP1	lat	prasina
250	1260	SP1	cyr	прасина
1450	3451	SP1	lat	i ednoto prase bilo mnogu itro
1450	3451	SP1	cyr	и едното прасе било многу итро
3640	5889	SP1	lat	i toa sekoj den ḱe izlezelo
3640	5889	SP1	cyr	и тоа секој ден ќе излезело
6249	8490	SP1	lat	i odelo vo, vo planinata
6249	8490	SP1	cyr	и одело во, во планинта
8490	10346	SP1	lat	ko šo ima želadi da jadi
8490	10346	SP1	cyr	ко шо има желади да јади
10670	13480	SP1	lat	ama ko šo pominuvalo imalo edna golema dupka
10670	13480	SP1	cyr	ама ко шо поминувало имало една голема дупка
13772	16570	SP1	lat	ama prasevo se naučilo, sekoe odenje
13772	16570	SP1	cyr	ама прасево се научило, секое одење
16792	19798	SP1	lat	ḱe preripalo od dupkata i ḱe odi ḱe se najadi
16792	19798	SP1	cyr	ќе прерипало од дупката и ќе оди ќе се најади
20010	21995	SP1	lat	i večerta pak ḱe se vrati doma
20010	21995	SP1	cyr	и вечерта пак ќе се врати дома
22530	24935	SP1	lat	eden den go sretnuva volkot
22530	24935	SP1	cyr	еден ден го сретнува волкот
25500	27730	SP1	lat	mu vika sea reče prase ḱe te
25500	27730	SP1	cyr	му вика сеа рече прасе ќе те
28030	29048	SP1	lat	ḱe te jadam
28030	29048	SP1	cyr	ќе те јадам
29730	31690	SP1	lat	mu vika ne
29730	31690	SP1	cyr	му вика не
32020	33970	SP1	lat	ajde vika ḱe odime zaedno
32020	33970	SP1	cyr	ајде вика ќе одиме заедно
34120	38009	SP1	lat	ja odam vika(m) da... vo planinata da jadam želadi i
34120	38009	SP1	cyr	ја одам вика(м) да во планината да јадам желади и
38520	40940	SP1	lat	ama dupkata ḱe ja preripame
38520	40940	SP1	cyr	ама дупката ќе ја прерипаме
41316	43274	SP1	lat	i večer pa ḱe se vratime
41316	43274	SP1	cyr	и вечер па ќе се вратиме
43800	47443	SP1	lat	i ovoj taka volkot, se izlažal
43800	47443	SP1	cyr	и овој така волкот, се излажал
47732	52490	SP1	lat	ajde reče ḱe idam, odele do nekade šo odele, ajde došla dupkata, ama prasevo
47732	52490	SP1	cyr	ајде рече ќе идам, оделе до некаде шо оделе, ајде дошла дупката, ама прасево
52664	53702	SP1	lat	mnogu ripalo
52664	53702	SP1	cyr	многу рипало
53790	56677	SP1	lat	prasevo preripalo, volko ripanje, pa vo dupka!
53790	56677	SP1	cyr	прасево прерипало, волко рипање, па во дупка!
56953	59108	SP1	lat	dupkata bila (z)dlaboka, kako bunar
56953	59108	SP1	cyr	дупката била (з)длабока, како бунар
59720	61623	SP1	lat	i sea nemožit da izlezi nikako
59720	61623	SP1	cyr	и сеа неможит да излези никако
61915	63384	SP1	lat	prasevo otišlo
61915	63384	SP1	cyr	прасево отишло
63514	64439	SP1	lat	najalo
63514	64439	SP1	cyr	најало
65211	66600	SP1	lat	i se vraḱa pak
65211	66600	SP1	cyr	и се враќа пак
66630	67900	SP1	lat	pa se vraḱat
66630	67900	SP1	cyr	па се враќат
68170	71179	SP1	lat	emi, reče, ko ti vikav, volčko, nemožiš da idiš so mene
68170	71179	SP1	cyr	еми, рече, ко ти викав, волчко, неможиш да идиш со мене
71530	74050	SP1	lat	ništo, sega, reče, sedi, čekaj me, utre
71530	74050	SP1	cyr	ништо, сега, рече, седи, чекај ме, утре
74080	75190	SP1	lat	utre pak ja
74080	75190	SP1	cyr	утре пак ја
75480	76610	SP1	lat	pa drugiot den
75480	76610	SP1	cyr	па другиот ден
76710	78050	SP1	lat	pa odi prasevo
76710	78050	SP1	cyr	па оди прасево
78602	81420	SP1	lat	odi prasevo, go sretnuva zajačeto
78602	81420	SP1	cyr	оди прасево, го сретнува зајачето
82736	89680	SP1	lat	reče, kaj, pra... aj, reče, prase, kaj odiš? vika odam vo planinata da se najadam želadi i se vraḱam večer
82736	89680	SP1	cyr	рече, кај, пра... ај, рече, прасе, кај одиш? вика одам во планинта да се најадам желади и се враќам вечер
89947	91359	SP1	lat	i ja ḱe idam so tebe!
89947	91359	SP1	cyr	и ја ќе идам со тебе!
91960	96571	SP1	lat	ama reče nemožiš da idiš, oti ja ima edna dupka šo ja preripuvam.
91960	96571	SP1	cyr	ама рече неможиш да идиш, оти ја има една дупка шо ја прерипувам.
97070	98640	SP1	lat	ḱe... ḱe padniš!
97070	98640	SP1	cyr	ќе... ќе падниш!
