start_ms	end_ms	sp	kind	text
1660	2563	SP2	lat	/claps/
2510	4873	SP1	lat	nekogaš luǵeto bile mnogu prosti
2510	4873	SP1	cyr	некогаш луѓето биле многу прости
5226	7255	SP1	lat	nez... neznaele
5226	7255	SP1	cyr	нез... незнаеле
7750	9708	SP1	lat	i šo ḱe praat
7750	9708	SP1	cyr	и шо ќе праат
10390	14960	SP1	lat	isto de... devojkata da... ḱe ja mažat
10390	14960	SP1	cyr	исто де... девојката да... ќе ја мажат
14980	17250	SP1	lat	za nejze idele strojnici isto
14980	17250	SP1	cyr	за нејзе иделе стројници исто
17540	19350	SP1	lat	isto taja e slična kako ovaa
17540	19350	SP1	cyr	исто таја е слична како оваа
19390	20830	SP1	lat	idele strojnici
19390	20830	SP1	cyr	иделе стројници
20880	23103	SP1	lat	i tatkovo i majkava ne ja davaat
20880	23103	SP1	cyr	и татково и мајкава не ја даваат
23292	24670	SP1	lat	vika, ne
23292	24670	SP1	cyr	вика, не
24760	26230	SP1	lat	vika mnogu prdit
24760	26230	SP1	cyr	вика многу прдит
27370	28610	SP1	lat	ḱe ni ja dajte
27370	28610	SP1	cyr	ќе ни ја дајте
28660	31895	SP1	lat	ubava e, ḱe ni ja dajte i gotovo, ako prdi, ḱe ni ja dajte
28660	31895	SP1	cyr	убава е, ќе ни ја дајте и готово, ако прди, ќе ни ја дајте
32860	35686	SP1	lat	i šo praat, ajde, napravile svadba
32860	35686	SP1	cyr	и шо праат, ајде, направиле свадба
36390	39287	SP1	lat	napravile svadba sè, praat svadba
36390	39287	SP1	cyr	направиле свадба сè, праат свадба
39715	41290	SP1	lat	i sega vikat
39715	41290	SP1	cyr	и сега викат
41320	42860	SP1	lat	sea svadbava koa ḱe se prajt
41320	42860	SP1	cyr	сеа свадбава коа ќе се прајт
42900	43980	SP1	lat	e sea ete mi te(kna)
42900	43980	SP1	cyr	е сеа ете ми те(кна)
44042	45804	SP1	lat	sea ko ḱe se praj svadbava
44042	45804	SP1	cyr	сеа ко ќе се прај свадбава
46164	48986	SP1	lat	ḱe klajme tri r... rala tapani
46164	48986	SP1	cyr	ќе клајме три р... рала тапани
49347	50607	SP1	lat	surli
49347	50607	SP1	cyr	сурли
50960	52746	SP1	lat	ko ḱe se kačuva na konjot
50960	52746	SP1	cyr	ко ќе се качува на коњот
53310	56930	SP1	lat	oti ona ḱe... ḱe pa ḱe prdnit
53310	56930	SP1	cyr	оти она ќе... ќе па ќе прднит
57259	59545	SP1	lat	da ne ja slušnat svadbarite
57259	59545	SP1	cyr	да не ја слушнат свадбарите
