start_ms	end_ms	sp	kind	text
160	1370	SP2	lat	eve snima
160	1370	SP2	cyr	еве снима
3520	4255	SP1	lat	aaa
3520	4255	SP1	cyr	аа
5460	6620	SP1	lat	i sea moži da zboruvam?
5460	6620	SP1	cyr	и сеа можи да зборувам?
6700	6910	SP2	lat	da
6700	6910	SP2	cyr	да
7250	8440	SP1	lat	hahaha mori babe
7250	8440	SP1	cyr	хахаха мори бабе
9560	11440	SP1	lat	ajde posle ḱe mi puštiš da se slušam
9560	11440	SP1	cyr	ајде после ќе ми пушиш да се слушам
11860	13260	SP1	lat	i sega si bile nekoi
11860	13260	SP1	cyr	и сега си биле некои
14100	15830	SP1	lat	sin i majka živeele
14100	15830	SP1	cyr	син и мајка живееле
17000	18200	SP1	lat	i sega go
17000	18200	SP1	cyr	и сега го
18200	20435	SP1	lat	neznam dali imal tatko, go, go oženile
18200	20435	SP1	cyr	незнам дали имал татко, го, го ожениле
21000	21930	SP1	lat	i se oženil
21000	21930	SP1	cyr	и се оженил
22580	23265	SP1	lat	i sega
22580	23265	SP1	cyr	и сега
24280	27470	SP1	lat	imale tesla, tslata bila obesena na dzidot
24280	27470	SP1	cyr	имале тесла, теслата била обесена на ѕидот
28420	30565	SP1	lat	i sega sednale dvajcata plačat
28420	30565	SP1	cyr	и сега седнале двајцата плачат
31708	33875	SP1	lat	mm... sinov i majkava
31708	33875	SP1	cyr	мм... синов и мајкава
34800	35480	SP1	lat	abe, reče,
34800	35480	SP1	cyr	абе, рече,
36220	38025	SP1	lat	nevestava ḱe ni rodi dete
36220	38025	SP1	cyr	невестава ќе ни роди дете
38700	40195	SP1	lat	ḱe padni teslana od dzid
38700	40195	SP1	cyr	ќе падни теслана од ѕид
41120	42365	SP1	lat	ḱe, ḱe go otepa deteto
41120	42365	SP1	cyr	ќе, ќе го отепа детето
43820	45905	SP1	lat	a ušte ne bila bremena, ama
43820	45905	SP1	cyr	а уште не била бремена, ама
46440	48415	SP1	lat	tie se pretstavuvaat
46440	48415	SP1	cyr	тие се претставуваат
50180	51600	SP1	lat	šo ḱe, toj reče, sega
50180	51600	SP1	cyr	шо ќе, тој рече, сега
52240	53985	SP1	lat	sea ḱe odam, reče, ḱe baram, reče
52240	53985	SP1	cyr	сеа ќе одам, рече, ќе барам, рече
54500	56640	SP1	lat	po selata, ako najdam, reče
54500	56640	SP1	cyr	по селата, ако најдам, рече
57100	58595	SP1	lat	ḱe ve otepam dvete
57100	58595	SP1	cyr	ќе ве отепам двете
59080	62112	SP1	lat	ako najdam pobudali od vas, ḱe ve ostaam da živejte
59080	62112	SP1	cyr	ако најдам побудали од вас, ќе ве остаам да живеите
63060	65440	SP1	lat	ako ne, reče, da znajte šo, šo ve čekat
63060	65440	SP1	cyr	ако не, рече, да знајте шо, шо ве чекат
66320	67075	SP1	lat	odel, odel
66320	67075	SP1	cyr	одел, одел
68300	68720	SP1	lat	tape
68300	68720	SP1	cyr	тапе
68940	69330	SP1	lat	nekoi
68940	69330	SP1	cyr	некои
70480	71225	SP1	lat	zemale
70480	71225	SP1	cyr	земале
71840	72275	SP1	lat	orevi
71840	72275	SP1	cyr	ореви.
72540	73515	SP1	lat	kršeni orevi
72540	73515	SP1	cyr	кршени ореви
74520	76220	SP1	lat	zemale so, so vila
74520	76220	SP1	cyr	земале со, со вила
77260	79692	SP1	lat	vila železna, e sea kaj može ovaa da crpi orei?
77260	79692	SP1	cyr	вила железна, е сеа кај може оваа да црпи ореи?
80900	82812	SP1	lat	šo prajte be? abe eve, vikaat,
80900	82812	SP1	cyr	шо прајте бе? абе еве, викаат,
83020	83600	SP1	lat	crpime
83020	83600	SP1	cyr	црпиме
84300	87890	SP1	lat	orevine nemožime, vika, da gi vkačime da gi vrlime gore
84300	87890	SP1	cyr	оревине неможиме, вика, да ги вкачиме да ги врлиме горе
88740	90220	SP1	lat	dajte, reče, vamu edna kanta
88740	90220	SP1	cyr	дајте, рече, ваму една канта
91740	93650	SP1	lat	nacrpi, nacrpi, turi gi gore
91740	93650	SP1	cyr	нацрпи, нацрпи, тури ги горе
94260	95350	SP1	lat	i ništo
94260	95350	SP1	cyr	и ништо
95580	96515	SP1	lat	prodolžuvat patot
95580	96515	SP1	cyr	продолжуват патот
97560	99325	SP1	lat	ovie, ovie doma sega čekaat
97560	99325	SP1	cyr	овие, овие дома сега чекаат
100240	101565	SP1	lat	odi, odi potaka
100240	101565	SP1	cyr	оди, оди потака
101840	102775	SP1	lat	zemale luǵe
101840	102775	SP1	cyr	земале луѓе
103580	104280	SP1	lat	bočva
103580	104280	SP1	cyr	бочва
105280	108453	SP1	lat	bočvata dupena, ḱe ja polna so voda
105280	108453	SP1	cyr	бочвата дупена, ќе ја полна со вода
108843	110145	SP1	lat	ne, so rešeto
108843	110145	SP1	cyr	не, со решето
110960	112595	SP1	lat	bočvata ḱe ja polnat so rešeto
110960	112595	SP1	cyr	бочвата ќе ја полнат со решето
113900	115250	SP1	lat	rešeto znaiš šo et
113900	115250	SP1	cyr	решето знаиш шо ет
115440	116570	SP1	lat	dupeno, so dupki
115440	116570	SP1	cyr	дупено, со дупки
115470	115700	SP2	lat	mmm
115470	115700	SP2	cyr	ммм
117207	117297	SP1	lat	/click/
117700	118410	SP1	lat	crpi, turaj
117700	118410	SP1	cyr	црпи, турај
118660	120513	SP1	lat	kaj možat da nacrpat, da ja napolnat?
118660	120513	SP1	cyr	кај можат на нацрпат, да ја наполнат?
121520	122210	SP1	lat	ne, reče, taka
121520	122210	SP1	cyr	не, рече, така
122620	124045	SP1	lat	dajte vamu edna kofa
122620	124045	SP1	cyr	дајте ваму една кофа
125000	126045	SP1	lat	dajte edna kofa
