start_ms	end_ms	sp	kind	text
53660	55630	SP1	lat	e, ajde, si bile Role i Rolejca
53660	55630	SP1	cyr	е, ајде, си биле Роле и Ролеејца
55860	57410	SP1	lat	imale... bile siromaški
55860	57410	SP1	cyr	имале... биле сиромашки
58500	58890	SP1	lat	eee
58500	58890	SP1	cyr	еее
59260	60715	SP1	lat	ma, mu umrel edniot vol
59260	60715	SP1	cyr	ма, му умрел едниот вол
61100	61695	SP1	lat	i sega
61100	61695	SP1	cyr	и сега,
62720	63205	SP1	lat	vika
62720	63205	SP1	cyr	вика
64060	65700	SP1	lat	šo ḱe prajme? ḱe odime
64060	65700	SP1	cyr	шо ќе прајме? ќе одиме
66560	67992	SP1	lat	da go prodajme i drugiov
66560	67992	SP1	cyr	да го продајме и другиов
69180	70445	SP1	lat	ama nekoi aramii
69180	70445	SP1	cyr	ама некои арамии
70820	72690	SP1	lat	go sretnale na patot i mu rekle
70820	72690	SP1	cyr	го сретнале на патот и му рекле
73140	74400	SP1	lat	kaj si trgnal, Role?
73140	74400	SP1	cyr	кај си тргнал, Роле?
74860	77585	SP1	lat	be, reče, ḱe go prodavam volov. Abe, ubav je
74860	77585	SP1	cyr	бе, рече, ќе го продавам волов, абе, убав је
78140	79457	SP1	lat	ama ednio rog
78140	79457	SP1	cyr	ама еднио рог
79740	81063	SP1	lat	da mu go skršiš
79740	81063	SP1	cyr	да му го скршиш
81580	84630	SP1	lat	oti i našiot takov jet, taman da bidat dvajcata isti
81580	84630	SP1	cyr	оти и нашиот таков јет, таман да бидат двајцата исти
85850	88550	SP1	lat	i Role se izlažal, mu go skršil rogot
85850	88550	SP1	cyr	и Роле се излажал, му го скршил рогот
89960	90750	SP1	lat	ništooo...
89960	90750	SP1	cyr	ништооо...
91160	92185	SP1	lat	otišol na pazar
91160	92185	SP1	cyr	отишол на пазар
92680	95080	SP1	lat	počnale da go plukaat luǵeto, počnalo da mu tečit krv
92680	95080	SP1	cyr	почнале да го плукаат луѓето, почнало да му течит крв
95280	96035	SP1	lat	na volo
95280	96035	SP1	cyr	на воло
96900	97510	SP1	lat	od rogo
96900	97510	SP1	cyr	од рого
98280	101680	SP1	lat	i go plukale site sramele i si otišol doma.
98280	101680	SP1	cyr	и го плукале сите срамеле и си отишол дома
102440	104190	SP1	lat	i mu vika na ženata sea reče čekaj
102440	104190	SP1	cyr	и му вика на жената сеа рече чекај
104360	106192	SP1	lat	ja ḱe mu kažam niv, reče, drug pat
104360	106192	SP1	cyr	ја ќе му кажам нив, рече, друг пат
107940	109890	SP1	lat	ajde, go izlažale
107940	109890	SP1	cyr	ајде, го излажале
110120	111385	SP1	lat	trgnal pak da odi
110120	111385	SP1	cyr	тргнал пак да оди
112800	113320	SP1	lat	Role
112800	113320	SP1	cyr	Роле
115200	117260	SP1	lat	i mu vika, abre pa go nosel volo
115200	117260	SP1	cyr	и му вика, абре па го носел воло
117680	118445	SP1	lat	abre, Role
117680	118445	SP1	cyr	абре, Роле
