start_ms	end_ms	sp	kind	text
1220	4617	SP1	lat	od nejze ima kniga ama ja možam da ti ja kažam taka
1220	4617	SP1	cyr	од нејзе има книга ама ја можам да ти ја кажам така
4630	5260	SP2	lat	može
4630	5260	SP2	cyr	може
5320	8513	SP1	lat	ajde, Siljan Štrkot bil od Malo Konjari
5320	8513	SP1	cyr	ајде, Силјан Штркот бил од Мало Коњари
10240	13680	SP1	lat	e sega otišol, otišol Siljan rekol ḱe odi
10240	13680	SP1	cyr	е, сега отишол, отишол Силјан рекол, ќе оди
14520	14940	SP1	lat	košo
14520	14940	SP1	cyr	кошо
15318	16800	SP1	lat	odel, odel na, na, pečalba
15318	16800	SP1	cyr	одел, одел на, на, печалба
18187	21437	SP1	lat	so torbata naramo odel babe na pečalba
18187	21437	SP1	cyr	со торбата нарамо одел, бабе, на печалба
21980	25070	SP1	lat	odel odel so brodoi so neznam so što
21980	25070	SP1	cyr	одел одел со бродои со незнам со што
25820	26995	SP1	lat	koa našol tamu
25820	26995	SP1	cyr	коа нашол таму
27639	27988	SP1	lat	košo
27639	27988	SP1	cyr	кошо
28400	29770	SP1	lat	štrkoive košo živeat
28400	29770	SP1	cyr	штркоиве кошо живеат
30706	33915	SP1	lat	štrkoive koa ḱe si pojdele tamu imalo eden izvor
30706	33915	SP1	cyr	штркоиве коа ќе си појделе таму имало еден извор
34700	35730	SP1	lat	a... voda
34700	35730	SP1	cyr	е... вода
36440	37550	SP1	lat	edniot izvor
36440	37550	SP1	cyr	едниот извор
38420	40439	SP1	lat	da se izbanjaat da stanat štrkoi
38420	40439	SP1	cyr	да се избањаат да станат штркои
40600	42666	SP1	lat	a drugiot da se izbanjaat da stanat luǵe
40600	42666	SP1	cyr	а другиот да се избањаат да станат луѓе
43500	47470	SP1	lat	i koa otišol babe tamu koa ovie štrkoite, babe, go poznale
43500	47470	SP1	cyr	и коа отишол бабе таму коа овие штркоите, бабе, го познале
48120	49185	SP1	lat	kopale niva
48120	49185	SP1	cyr	копале нива
49400	49900	SP1	lat	znaiš oni
49400	49900	SP1	cyr	знаиш они
50300	51651	SP1	lat	koa ḱe si poele tamu
50300	51651	SP1	cyr	коа ќе си поеле таму
52178	53237	SP1	lat	se praele
52178	53237	SP1	cyr	се праеле
53540	54080	SP1	lat	luǵe
53540	54080	SP1	cyr	луѓе
54820	56135	SP1	lat	a vamu idele
54820	56135	SP1	cyr	а ваму иделе
56520	59600	SP1	lat	nemožele da rodat deca, tamu ne mu traele decata
56520	59600	SP1	cyr	неможеле да родат деца, таму не му траеле децата
60020	62235	SP1	lat	zatoa idele vamu da roda štrčinja
60020	62235	SP1	cyr	затоа иделе ваму да рода штрчиња
62720	64220	SP1	lat	i tamu se praat deca
62720	64220	SP1	cyr	и таму се праат деца
64880	66185	SP1	lat	na izvoro koa ḱe gi izbanjaat
64880	66185	SP1	cyr	на изворо коа ќе ги избањаат
67720	68480	SP1	lat	i sega
67720	68480	SP1	cyr	и сега
69440	73720	SP1	lat	ko ovie, ooo Siljan dobredojde od kaj dojde?
69440	73720	SP1	cyr	ко овие, ооо Силјан добредојде од кај дојде?
74219	77214	SP1	lat	abe, be od kaj me znajte, reče, vie mene, Siljan
74219	77214	SP1	cyr	абе, бе од кај ме знаите, рече, вие мене, Силјан
78300	81170	SP1	lat	kako, reče, nie, nie sme, reče štrkoite šo gi ima na
78300	81170	SP1	cyr	како, рече, ние, ние сме, рече штркоите шо ги има на
81520	82735	SP1	lat	na plemnata tvoja
81520	82735	SP1	cyr	на племната твоја
83140	84020	SP1	lat	na sedeloto
83140	84020	SP1	cyr	на седелото
85100	86064	SP1	lat	kako taka?!
85100	86064	SP1	cyr	како така?!
87900	90820	SP1	lat	i ovoj ne ne veruvat, ništo, reče,
87900	90820	SP1	cyr	и овој не не веруват, ништо, рече,
91220	91925	SP1	lat	naprolet
91220	91925	SP1	cyr	напролет
92980	96110	SP1	lat	ḱe odime eve sea ḱe odime ḱe te odneseme i tebe
92980	96110	SP1	cyr	ќе одиме еве сеа ќе одиме ќе те однесеме и тебе
96620	99900	SP1	lat	ḱe se izbanjaš vo, vo... kaj izvorov
96620	99900	SP1	cyr	ќе се избањаш во, во... кај изворов
100600	101891	SP1	lat	ḱe staniš štrk
100600	101891	SP1	cyr	ќе станиш штрк
102320	102740	SP1	lat	ama
102320	102740	SP1	cyr	ама
103200	106120	SP1	lat	ḱe ti dajme vo edno šiše voda ḱe go nosiš vo klunot
103200	106120	SP1	cyr	ќе ти дајме во едно шише вода ќе го носиш во клунот
106920	109945	SP1	lat	ḱe letaš i koa ḱe sleziš tamu vo Konjari
106920	109945	SP1	cyr	ќе леташ и коа ќе слезиш таму во Коњари
110560	111515	SP1	lat	ḱe se naturiš
110560	111515	SP1	cyr	ќе се натуриш
111780	112660	SP1	lat	ḱe staniš čovek
111780	112660	SP1	cyr	ќе станиш човек
113580	114585	SP1	lat	ḱe si pojdiš doma
113580	114585	SP1	cyr	ќе си појдиш дома
115360	116705	SP1	lat	onie doma neznaele
115360	116705	SP1	cyr	оние дома незнаеле
117240	119345	SP1	lat	nigde go nema čoveko i gotovo
117240	119345	SP1	cyr	нигде го нема човеко и готово
120080	122890	SP1	lat	i, babe, idenje toj od radost kako što letale
120080	122890	SP1	cyr	и, бабе, идење тој од радост како што летале
123640	125860	SP1	lat	na nekoja spila po planinite
123640	125860	SP1	cyr	на некоја спила по планините
126840	126980	SP1	lat	/claps/
127300	131177	SP1	lat	čuknuvanje šišeto mu se skršilo mu se isturila vodata
127300	131177	SP1	cyr	чукнување шишето му се скршило, му се истурила водата
132280	134677	SP1	lat	i šo praj Siljan? ostanuva štrk
132280	134677	SP1	cyr	и шо прај Силјан? останува штрк
135210	135668	SP1	lat	pak
135210	135668	SP1	cyr	пак
136100	139780	SP1	lat	ostanuva štrk, pak, babe, idit na sedeloto vo kuḱata vo dvorot
136100	139780	SP1	cyr	останува штрк, пак, бабе, идит на седелото во куќата во дворот
140920	141685	SP1	lat	e sega
140920	141685	SP1	cyr	е сега
142680	145155	SP1	lat	ḱe se maži na Siljan sestra mu
142680	145155	SP1	cyr	ќе се мажи на Силјан сестра му
146140	149815	SP1	lat	go čeka go čeka go nema čovekot site žalat vo crno oblečeni
146140	149815	SP1	cyr	го чека го чека го нема човекот, сите жалат во црно облечени
150240	152340	SP1	lat	umren, go nema, tri godini go nema
150240	152340	SP1	cyr	умрен, го нема, три години го нема
152780	154170	SP1	lat	oti dve leta taka idel
152780	154170	SP1	cyr	оти две лета така идел
155920	156653	SP1	lat	i
155920	156653	SP1	cyr	и
157100	157475	SP1	lat	ovoj
157100	157475	SP1	cyr	овој
158320	160140	SP1	lat	slegol vo dvorot
158320	160140	SP1	cyr	слегол во дворот
160732	161680	SP1	lat	ne...
160732	161680	SP1	cyr	не...
162180	163505	SP1	lat	prvo oral tatko mu
162180	163505	SP1	cyr	прво орал татко му
164200	165895	SP1	lat	i košo oral tatko mu otišol
164200	165895	SP1	cyr	и кошо орал татко му отишол
166560	167310	SP1	lat	po nego odel
166560	167310	SP1	cyr	по него одел
167720	168590	SP1	lat	vo brazdata
167720	168590	SP1	cyr	во браздата
169660	170245	SP1	lat	i ovoj
169660	170245	SP1	cyr	и овој
171110	172895	SP1	lat	mu stanal dosaden
171110	172895	SP1	cyr	му станал досаден
173240	175574	SP1	lat	go udril so stapčeto mu go skršil nogata
173240	175574	SP1	cyr	го удрил со стапчето му го скршил ногата
176000	177864	SP1	lat	kolenoto, zatoa štrko ima koleno
176000	177864	SP1	cyr	коленото, затоа штрко има колено
178560	179630	SP1	lat	mu go skršil kolenoto
178560	179630	SP1	cyr	му го скршил коленото
180573	181226	SP1	lat	ništo
180573	181226	SP1	cyr	ништо
181660	182570	SP1	lat	ovoj pak odi
181660	182570	SP1	cyr	овој пак оди
182940	186060	SP1	lat	vo dvorot slezi zemi nešto onadi
182940	186060	SP1	cyr	во дворот слези земи нешто онади
186680	188062	SP1	lat	e sega sestra mu
186680	188062	SP1	cyr	е сега сестра му
188200	188815	SP1	lat	pletela
188200	188815	SP1	cyr	плетела
189700	191485	SP1	lat	ženata mu pletela čorapi
189700	191485	SP1	cyr	жената му плетела чорапи
192960	196775	SP1	lat	košo pletela čorapi neznam otišla nešto doma i ovoj sleguvanje
192960	196775	SP1	cyr	кошо плетела чорапи незнам отишла нешто дома и овој слегување
197380	199205	SP1	lat	čorapo sose igli sose sè
197380	199205	SP1	cyr	чорапо сосе игли сосе сè
199620	201560	SP1	lat	i go dignal vo sedeloto go ostael
199620	201560	SP1	cyr	и го дигнал во седелото го остаел
201840	203321	SP1	lat	sea da mu dokažit
201840	203321	SP1	cyr	сеа да му докажит
204660	208245	SP1	lat	ovie baraat bre ovde bre onde nema i gotovo
204660	208245	SP1	cyr	овие бараат бре овде бре онде нема и готово
208532	209460	SP1	lat	go nema čorapo
208532	209460	SP1	cyr	го нема чорапо
210300	211308	SP1	lat	go ukrade nekoj
210300	211308	SP1	cyr	го украде некој
212001	212688	SP1	lat	ništo
212001	212688	SP1	cyr	ништо
213180	213695	SP1	lat	ajde to
213180	213695	SP1	cyr	ајде то
214740	217930	SP1	lat	ajde, sestra mu pravela ǵerdanče, ǵerdan nižela
214740	217930	SP1	cyr	ајде, сестра му правела ѓерданче, ѓердан нижела
218820	220919	SP1	lat	nižela ǵerdan za svadbata
218820	220919	SP1	cyr	нижела ѓердан за свадбата
221881	222811	SP1	lat	slegol
221881	222811	SP1	cyr	слегол
224300	225113	SP1	lat	i taa taka
224300	225113	SP1	cyr	и таа така
