start_ms	end_ms	sp	kind	text
1293	2000	SP1	lat	e taka
1293	2000	SP1	cyr	е така
2640	4240	SP1	lat	si, si bil
2640	4240	SP1	cyr	си, си бил
4320	8590	SP1	lat	si bile isto familija, tatko, majka, si imale poeḱe deca
4320	8590	SP1	cyr	си биле исто фамилија, татко, мајка, си имале поеќе деца
8890	11173	SP1	lat	ama imale eden sin
8890	11173	SP1	cyr	ама имале еден син
11510	13430	SP1	lat	e sega došlo vreme
11510	13430	SP1	cyr	е сега дошло време
14190	15090	SP1	lat	nači
14190	15090	SP1	cyr	начи
15800	20340	SP1	lat	imale eden sin, ama ko, ko se rodil, samo toj bil maško
15800	20340	SP1	cyr	имале еден син, ама ко, ко се родил, само тој бил машко
20380	22010	SP1	lat	a drugite bile ženski
20380	22010	SP1	cyr	а другите биле женски
22420	24584	SP1	lat	e ko došle na... narečnicite
22420	24584	SP1	cyr	е ко дошле на... наречниците
25200	26440	SP1	lat	isto i za nego
25200	26440	SP1	cyr	исто и за него
26790	30330	SP1	lat	nači, narečnicite, ama togaš babite naslušale
26790	30330	SP1	cyr	начи, наречниците, ама тогаш бабите наслушале
30350	32680	SP1	lat	imalo babite sedele noḱta
30350	32680	SP1	cyr	имало бабите седеле ноќта
32750	36820	SP1	lat	oti majkata, taka, se vikala leunka, ko bila leunka
32750	36820	SP1	cyr	оти мајката, така, се викала леунка, ко била леунка
37150	41010	SP1	lat	i togaš idele, ili ḱe ì go zemat deteto, ili ḱe ì go umrat
37150	41010	SP1	cyr	и тогаш иделе, или ќе и го земат детето, или ќе и го умрат
41570	42666	SP1	lat	i taka
41570	42666	SP1	cyr	и така
42980	46320	SP1	lat	i oti deteto koa e malo, rekle
42980	46320	SP1	cyr	и оти детето коа е мало, рекле
46360	51044	SP1	lat	ko ḱe se smeit, mu vikale ḱe ti go zemime od majka ti cic... cickata
46360	51044	SP1	cyr	ко ќе се смеит, му викале ќе ти го земиме од мајка ти циц... цицката
51110	52853	SP1	lat	šo, šo, cicat
51110	52853	SP1	cyr	шо, шо, цицат
52890	54436	SP1	lat	a ko ḱe plačelo
52890	54436	SP1	cyr	а ко ќе плачело
54580	56561	SP1	lat	vikale majka ti ḱe ti umrit
54580	56561	SP1	cyr	викале мајка ти ќе ти умрит
56910	57760	SP1	lat	na deteto
56910	57760	SP1	cyr	на детето
58230	60799	SP1	lat	i sega, d... ovie
58230	60799	SP1	cyr	и сега, д... овие
61190	62841	SP1	lat	sinov, rekle
61190	62841	SP1	cyr	синов, рекле
