start_ms	end_ms	sp	kind	text
2229	4661	SP1	lat	nači sega sakam da raskažam edna prikazna
2229	4661	SP1	cyr	начи сега сакам да раскажам една приказна
4992	8121	SP1	lat	toa e prikaznata za c... Trnova Ružn... Ružica
4992	8121	SP1	cyr	тоа е приказната за ц... Трнова Ружн... Ружица
8722	13726	SP1	lat	vo edno kralstvo si živeeše eden car so caricata i tie dolgo vreme nemaa deca
8722	13726	SP1	cyr	во едно кралство си живееше еден цар со царицата и тие долго време немаа деца
13950	15249	SP1	lat	posle nekoe vreme
13950	15249	SP1	cyr	после некое време
15396	19278	SP1	lat	dojdoa dobrite vili, im kažaa deka ḱe dobijat dete i ḱe dobijat ḱerka
15396	19278	SP1	cyr	дојдоа добрите вили, им кажаа дека ќе добијат дете и ќе добијат ќерка
19310	22270	SP1	lat	i navistina posle nekoe vreme im se rodi ḱerkata
19310	22270	SP1	cyr	и навистина после некое време им се роди ќерката
22394	24253	SP1	lat	kralot beše mnogu sreḱen
22394	24253	SP1	cyr	кралот беше многу среќен
24472	26500	SP1	lat	i, mm, reši da gi pokani
24472	26500	SP1	cyr	и, ех, реши да ги покани
26546	28019	SP1	lat	site dobri vili
26546	28019	SP1	cyr	сите добри вили
28113	31716	SP1	lat	na edna večerva, ne na edna večera, na edna... proslava
28113	31716	SP1	cyr	на една вечерва, не на една вечера, на една... прослава
31866	33800	SP1	lat	a, vo čest na raǵanjeto na deteto
31866	33800	SP1	cyr	а, во чест на раѓањето на детето
33827	35711	SP1	lat	takvi vili bile trinaeset
33827	35711	SP1	cyr	такви вили биле тринаесет
35785	37716	SP1	lat	on gi pokanil dvanaeste vili
35785	37716	SP1	cyr	он ги поканил дванаесте вили
37731	39817	SP1	lat	a trinaestata vila ja zaboravil
37731	39817	SP1	cyr	а тринаестата вила ја заборавил
40012	42576	SP1	lat	i došle dvanaeste vili i kažuvale
40012	42576	SP1	cyr	и дошле дванаесте вили и кажувале
42583	44588	SP1	lat	a, što sve mu daruvaat na deteto
42583	44588	SP1	cyr	а, што све му даруваат на детето
44596	48059	SP1	lat	edni rekle, mu daruvam ubavina, drugi rekle, mu daruvam zdravje
44596	48059	SP1	cyr	едни рекле, му дарувам убавина, други рекле, му дарувам здравје
48256	50859	SP1	lat	tretata vila rekla mu dalu... mu daruvam sreḱa
48256	50859	SP1	cyr	третата вила рекла му далу... му дарувам среќа
50871	52142	SP1	lat	četvrtata, ljubov
50871	52142	SP1	cyr	четвртата, љубов
52179	55516	SP1	lat	i taka se po red, site ì posakale sve najdobro za deteto
52179	55516	SP1	cyr	и така се по ред, сите и посакале све најдобро за детето
55788	58215	SP1	lat	došla na red dvanaestata vila
55788	58215	SP1	cyr	дошла на ред дванаестата вила
58327	60235	SP1	lat	da posaka nešto ubavo za deteto
58327	60235	SP1	cyr	да посака нешто убаво за детето
60357	63261	SP1	lat	meǵutoa vo toj moment se pojavila trinaestata vila
60357	63261	SP1	cyr	меѓутоа во тој момент се појавила тринаестата вила
63470	65731	SP1	lat	koja bila mnogu luta i rekla, aha!
63470	65731	SP1	cyr	која била многу лута и рекла, аха!
65743	71317	SP1	lat	mene me zaboraevte! site dvanaesti vili gi pokanivte, samo mene trinaestata vila ne me pokanivte
65743	71317	SP1	cyr	мене ме забораевте! сите дванаести вили ги поканивте, само мене тринаестата вила не ме поканивте
71669	74596	SP1	lat	zatoa što ne me pokanivte i zatoa što sum mnogu luta
71669	74596	SP1	cyr	затоа што не ме поканивте и затоа што сум многу лута
74655	77083	SP1	lat	a, ja prokolnuvam Trnova Ružica
74655	77083	SP1	cyr	а, ја проколнувам Трнова Ружица
77105	79401	SP1	lat	na svojot osumnaesti rodenden
77105	79401	SP1	cyr	на својот осумнаести роденден
79423	81792	SP1	lat	da se ubode na vreteno i da umre
79423	81792	SP1	cyr	да се убоде на вретено и да умре
82125	86726	SP1	lat	ah, i site zanemele i bile mnogu zastrašeni od vakvata strašna kletva
82125	86726	SP1	cyr	ах, и сите занемели и биле многу застрашени од ваквата страшна клетва
86795	89138	SP1	lat	togaš nastapila dvanaestata vila i rekla
86795	89138	SP1	cyr	тогаш настапила дванаестата вила и рекла
89241	91689	SP1	lat	jas nemožam da ja poništam kletvata
