start_ms	end_ms	sp	kind	text
1576	4023	SP1	lat	pak prikaska so volci
1576	4023	SP1	cyr	пак прикаска со волци
4176	5336	SP1	lat	i so luǵe
4176	5336	SP1	cyr	и со луѓе
5420	7511	SP1	lat	si bile nekoi selani
5420	7511	SP1	cyr	си биле некои селани
7720	10296	SP1	lat	si imale vo nekoe drugo selo tamu
7720	10296	SP1	cyr	си имале во некое друго село таму
10541	11688	SP1	lat	kumovi
10541	11688	SP1	cyr	кумови
11960	13731	SP1	lat	e sea tie kumovite
11960	13731	SP1	cyr	е сеа тие кумовите
14040	15961	SP1	lat	pravele svadba
14040	15961	SP1	cyr	правеле свадба
16460	19344	SP1	lat	e sea ovie od... stekale (?) da odaa na svadba
16460	19344	SP1	cyr	е сеа овие од... стекале да одаа на свадба
19460	20660	SP1	lat	ama dedoto rekol
19460	20660	SP1	cyr	ама дедото рекол
20820	24909	SP1	lat	jas sam ḱe odam na svadba, da ne se vlečime dvajca starci
20820	24909	SP1	cyr	јас сам ќе одам на свадба, да не се влечиме двајца старци
25120	27149	SP1	lat	trgat, ti mesi mi pogača
25120	27149	SP1	cyr	тргат, ти меси ми погача
27370	30468	SP1	lat	mesi mi maznik, ko baba ti šo mesila deneska
27370	30468	SP1	cyr	меси ми мазник, ко баба ти шо месила денеска
30680	33693	SP1	lat	mesi mi maznik, puštaj mi vino karta
30680	33693	SP1	cyr	меси ми мазник, пуштај ми вино карта
34020	35740	SP1	lat	na... isprži mi meso
34020	35740	SP1	cyr	на... испржи ми месо
35830	37350	SP1	lat	i jas če odam
35830	37350	SP1	cyr	и јас че одам
37440	38660	SP1	lat	na svadba
37440	38660	SP1	cyr	на свадба
38700	41074	SP1	lat	trgnal dedoto na svadba so magareto
38700	41074	SP1	cyr	тргнал дедото на свадба со магарето
41260	44750	SP1	lat	arno ama si zaboravil nešto ni... u darovite
41260	44750	SP1	cyr	арно ама си заборавил нешто ни... у даровите
45160	46500	SP1	lat	i go ostavil magareto
45160	46500	SP1	cyr	и го оставил магарето
46590	47460	SP1	lat	magareto
46590	47460	SP1	cyr	магарето
47507	49330	SP1	lat	reče, čekaj ti tuka
47507	49330	SP1	cyr	рече, чекај ти тука
49370	53690	SP1	lat	ja da pojdam da ja zemam... novčalakot (?), nešto šo trebalo da bidi tamu
49370	53690	SP1	cyr	ја да појдам да ја земам... новчалакот, нешто шо требало да биди таму
