start_ms	end_ms	sp	kind	text
9630	12721	SP1	lat	se ḱe raskažam edna prikaska
9630	12721	SP1	cyr	се ќе раскажам една прикаска
12999	14440	SP1	lat	za edna lovdžija
12999	14440	SP1	cyr	за една ловџија
15688	16723	SP1	lat	vo eden grad
15688	16723	SP1	cyr	во еден град
16797	18254	SP1	lat	živeeše carot
16797	18254	SP1	cyr	живееше царот
19140	19754	SP1	lat	i
19140	19754	SP1	cyr	и
20042	21131	SP1	lat	beše mnogu
20042	21131	SP1	cyr	беше многу
22233	23376	SP1	lat	sposoben
22233	23376	SP1	cyr	способен
23715	25207	SP1	lat	da go uredi dobro
23715	25207	SP1	cyr	да го уреди добро
25392	26968	SP1	lat	da napraj gradini
25392	26968	SP1	cyr	да напрај градини
27272	27817	SP1	lat	i
27272	27817	SP1	cyr	и
28105	29602	SP1	lat	vo bliskata šuma
28105	29602	SP1	cyr	во блиската шума
29984	31513	SP1	lat	im ovozmož(n)uvaše
29984	31513	SP1	cyr	им овозмож(н)уваше
31802	33217	SP1	lat	na lovdžiite da odat
31802	33217	SP1	cyr	на ловџиите да одат
33560	34536	SP1	lat	na lov
33560	34536	SP1	cyr	на лов
35264	36182	SP1	lat	eden den
35264	36182	SP1	cyr	еден ден
36339	38374	SP1	lat	lovdžijata so drugarite
36339	38374	SP1	cyr	ловџијата со другарите
38550	39626	SP1	lat	otide na lov
38550	39626	SP1	cyr	отиде на лов
40107	40962	SP1	lat	i tamu
40107	40962	SP1	cyr	и таму
41244	42101	SP1	lat	sretna
41244	42101	SP1	cyr	сретна
42322	44870	SP1	lat	eden oven so zlatno runo
42322	44870	SP1	cyr	еден овен со златно руно
45276	47261	SP1	lat	i toj mu re... ovenot mu reče
45276	47261	SP1	cyr	и тој му ре... овенот му рече
47547	49230	SP1	lat	jas tebe ḱe te ubijam
47547	49230	SP1	cyr	јас тебе ќе те убијам
50727	52686	SP1	lat	a lovdžijata reče, ne!
50727	52686	SP1	cyr	а ловџијата рече, не!
52957	54473	SP1	lat	jas tebe ḱe te ubijam!
52957	54473	SP1	cyr	јас тебе ќе те убијам!
54763	57691	SP1	lat	ama dodeka lovdžijata ja mesteše puškata
54763	57691	SP1	cyr	ама додека ловџијата ја местеше пушката
58001	59510	SP1	lat	ovenot go raspara
58001	59510	SP1	cyr	овенот го распара
59935	60981	SP1	lat	i pobegna
59935	60981	SP1	cyr	и побегна
61574	64140	SP1	lat	go najdoa drugarite, ne znaea šo
61574	64140	SP1	cyr	го најдоа другарите, не знаеа шо
64480	65503	SP1	lat	se slučilo
64480	65503	SP1	cyr	се случило
65831	66983	SP1	lat	go zakopaa
65831	66983	SP1	cyr	го закопаа
67116	69073	SP1	lat	puškata ja odnesoa
67116	69073	SP1	cyr	пушката ја однесоа
69381	70815	SP1	lat	kaj negovata žena
69381	70815	SP1	cyr	кај неговата жена
71564	73333	SP1	lat	lovdžijata imaše sin
71564	73333	SP1	cyr	ловџијата имаше син
73871	76691	SP1	lat	toj rasteše i stana polnoleten
73871	76691	SP1	cyr	тој растеше и стана полнолетен
77112	79756	SP1	lat	koga stana polnoleten, ja praša majkata
77112	79756	SP1	cyr	кога стана полнолетен, ја праша мајката
80147	83875	SP1	lat	mamo, može da ja zemam puškata i da odam na lov?
80147	83875	SP1	cyr	мамо, може да ја земам пушката и да одам на лов?
84234	85945	SP1	lat	majkata reče, ne!
84234	85945	SP1	cyr	мајката рече, не!
86329	88258	SP1	lat	nema nikogaš da ti ja dadam
86329	88258	SP1	cyr	нема никогаш да ти ја дадам
88476	91307	SP1	lat	zašto tatko ti umre od taa puška
88476	91307	SP1	cyr	зашто татко ти умре од таа пушка
91859	92976	SP1	lat	ama eden den
91859	92976	SP1	cyr	ама еден ден
93479	95599	SP1	lat	momčeto ja zede puškata
93479	95599	SP1	cyr	момчето ја зеде пушката
95677	97555	SP1	lat	i otide na lov vo šumata
95677	97555	SP1	cyr	и отиде на лов во шумата
98156	99874	SP1	lat	vo šumata go sretna
98156	99874	SP1	cyr	во шумата го сретна
100430	101194	SP1	lat	ovenot
100430	101194	SP1	cyr	овенот
101249	102263	SP1	lat	i mu reče
101249	102263	SP1	cyr	и му рече
102609	104481	SP1	lat	jas go ubiv tatko ti
102609	104481	SP1	cyr	јас го убив татко ти
104735	106210	SP1	lat	ama i tebe ḱe te ubijam!
104735	106210	SP1	cyr	ама и тебе ќе те убијам!
106867	109809	SP1	lat	ama momčeto beše pobrzo i go ubi
106867	109809	SP1	cyr	ама момчето беше побрзо и го уби
110178	110840	SP1	lat	ovenot
110178	110840	SP1	cyr	овенот
111136	113015	SP1	lat	ja odra zlatnata koža
111136	113015	SP1	cyr	ја одра златната кожа
113124	114453	SP1	lat	ja odnese doma
113124	114453	SP1	cyr	ја однесе дома
115108	116533	SP1	lat	vo gradot se proču
115108	116533	SP1	cyr	во градот се прочу
116661	118077	SP1	lat	za zlatnata koža
116661	118077	SP1	cyr	за златната кожа
118217	120130	SP1	lat	i site sakaa da ja vidat
118217	120130	SP1	cyr	и сите сакаа да ја видат
120485	121608	SP1	lat	t... tova
120485	121608	SP1	cyr	т... това
122249	124190	SP1	lat	dojde i do carot
122249	124190	SP1	cyr	дојде и до царот
124405	125692	SP1	lat	i carot reče
124405	125692	SP1	cyr	и царот рече
126152	128435	SP1	lat	što sakaš jas tebe ḱe ti dadam
126152	128435	SP1	cyr	што сакаш јас тебе ќе ти дадам
128564	131090	SP1	lat	samo da mi ja dadeš zlatnata koža
128564	131090	SP1	cyr	само да ми ја дадеш златната кожа
131470	132737	SP1	lat	on reče, nikaku
131470	132737	SP1	cyr	он рече, никаку
132986	134281	SP1	lat	nema da ti ja dadam
132986	134281	SP1	cyr	нема да ти ја дадам
134814	136558	SP1	lat	i carot se misleše
134814	136558	SP1	cyr	и царот се мислеше
136874	139202	SP1	lat	i se sovetuvaše so sovetnikot
136874	139202	SP1	cyr	и се советуваше со советникот
139548	141241	SP1	lat	što da napravi
139548	141241	SP1	cyr	што да направи
141420	143303	SP1	lat	sega za da može
141420	143303	SP1	cyr	сега за да може
143696	144389	SP1	lat	da ja
143696	144389	SP1	cyr	да ја
144883	148276	SP1	lat	zeme zlatnata... zlatnoto runo
144883	148276	SP1	cyr	земе златната... златното руно
148797	150668	SP1	lat	a sovetnikot mu reče
148797	150668	SP1	cyr	а советникот му рече
150793	152506	SP1	lat	lesna rabota e za tova!
150793	152506	SP1	cyr	лесна работа е за това!
152828	154208	SP1	lat	ḱe mu kažiš
152828	154208	SP1	cyr	ќе му кажиш
154384	155739	SP1	lat	deka trebe
154384	155739	SP1	cyr	дека требе
155976	156513	SP1	lat	da
155976	156513	SP1	cyr	да
157517	158926	SP1	lat	za sedum dena
157517	158926	SP1	cyr	за седум дена
159089	160715	SP1	lat	da nasadi lozje
159089	160715	SP1	cyr	да насади лозје
161031	162568	SP1	lat	da rodi grozje
161031	162568	SP1	cyr	да роди грозје
162747	163980	SP1	lat	i da napravi
162747	163980	SP1	cyr	и да направи
